Algorithm,MPI_Processes,Allocation,Message_Size,Latency
6,2,socket,1,0.60
6,2,socket,2,0.61
6,2,socket,4,0.61
6,2,socket,8,0.60
6,2,socket,16,0.60
6,2,socket,32,0.72
6,2,socket,64,0.73
6,2,socket,128,0.87
6,2,socket,256,0.91
6,2,socket,512,1.08
6,2,socket,1024,1.18
6,2,socket,2048,1.56
6,2,socket,4096,2.37
6,2,socket,8192,3.71
6,2,socket,16384,4.66
6,2,socket,32768,4.98
6,2,socket,65536,6.68
6,2,socket,131072,11.64
6,2,socket,262144,31.15
6,2,socket,524288,62.36
6,2,socket,1048576,120.35
6,2,node,1,1.73
6,2,node,2,1.72
6,2,node,4,1.73
6,2,node,8,1.73
6,2,node,16,1.73
6,2,node,32,1.88
6,2,node,64,2.25
6,2,node,128,1.82
6,2,node,256,2.40
6,2,node,512,2.56
6,2,node,1024,2.97
6,2,node,2048,3.55
6,2,node,4096,4.38
6,2,node,8192,5.18
6,2,node,16384,5.82
6,2,node,32768,8.01
6,2,node,65536,11.95
6,2,node,131072,17.30
6,2,node,262144,27.83
6,2,node,524288,49.20
6,2,node,1048576,92.31
6,4,socket,1,0.82
6,4,socket,2,0.84
6,4,socket,4,0.86
6,4,socket,8,0.88
6,4,socket,16,0.89
6,4,socket,32,1.01
6,4,socket,64,1.00
6,4,socket,128,1.39
6,4,socket,256,1.36
6,4,socket,512,1.52
6,4,socket,1024,1.66
6,4,socket,2048,2.38
6,4,socket,4096,3.41
6,4,socket,8192,5.67
6,4,socket,16384,12.71
6,4,socket,32768,16.25
6,4,socket,65536,25.00
6,4,socket,131072,42.25
6,4,socket,262144,88.14
6,4,socket,524288,167.78
6,4,socket,1048576,332.50
6,4,node,1,0.86
6,4,node,2,0.86
6,4,node,4,0.86
6,4,node,8,0.86
6,4,node,16,0.86
6,4,node,32,1.03
6,4,node,64,1.38
6,4,node,128,1.16
6,4,node,256,1.33
6,4,node,512,1.60
6,4,node,1024,2.00
6,4,node,2048,2.16
6,4,node,4096,3.03
6,4,node,8192,5.23
6,4,node,16384,8.83
6,4,node,32768,11.88
6,4,node,65536,18.34
6,4,node,131072,30.54
6,4,node,262144,40.22
6,4,node,524288,74.54
6,4,node,1048576,140.89
6,8,socket,1,1.61
6,8,socket,2,1.64
6,8,socket,4,1.78
6,8,socket,8,1.71
6,8,socket,16,1.90
6,8,socket,32,2.05
6,8,socket,64,2.11
6,8,socket,128,2.78
6,8,socket,256,2.51
6,8,socket,512,2.85
6,8,socket,1024,3.07
6,8,socket,2048,4.37
6,8,socket,4096,5.88
6,8,socket,8192,9.51
6,8,socket,16384,18.00
6,8,socket,32768,27.42
6,8,socket,65536,52.59
6,8,socket,131072,107.16
6,8,socket,262144,224.48
6,8,socket,524288,469.44
6,8,socket,1048576,902.88
6,8,node,1,2.72
6,8,node,2,2.71
6,8,node,4,2.70
6,8,node,8,2.74
6,8,node,16,2.80
6,8,node,32,2.82
6,8,node,64,3.15
6,8,node,128,3.13
6,8,node,256,3.65
6,8,node,512,3.92
6,8,node,1024,4.50
6,8,node,2048,4.95
6,8,node,4096,6.26
6,8,node,8192,8.62
6,8,node,16384,17.83
6,8,node,32768,23.25
6,8,node,65536,35.05
6,8,node,131072,60.92
6,8,node,262144,112.37
6,8,node,524288,207.00
6,8,node,1048576,392.24
6,16,socket,1,1.62
6,16,socket,2,1.72
6,16,socket,4,1.93
6,16,socket,8,1.96
6,16,socket,16,2.17
6,16,socket,32,2.57
6,16,socket,64,2.51
6,16,socket,128,3.36
6,16,socket,256,3.46
6,16,socket,512,3.91
6,16,socket,1024,4.18
6,16,socket,2048,5.81
6,16,socket,4096,7.89
6,16,socket,8192,12.55
6,16,socket,16384,21.94
6,16,socket,32768,37.93
6,16,socket,65536,76.05
6,16,socket,131072,153.25
6,16,socket,262144,306.90
6,16,socket,524288,629.61
6,16,socket,1048576,1192.96
6,16,node,1,3.29
6,16,node,2,3.29
6,16,node,4,3.41
6,16,node,8,3.28
6,16,node,16,3.32
6,16,node,32,3.65
6,16,node,64,4.12
6,16,node,128,4.46
6,16,node,256,5.11
6,16,node,512,5.28
6,16,node,1024,6.29
6,16,node,2048,6.95
6,16,node,4096,9.31
6,16,node,8192,12.70
6,16,node,16384,25.88
6,16,node,32768,41.85
6,16,node,65536,81.70
6,16,node,131072,166.48
6,16,node,262144,318.97
6,16,node,524288,579.13
6,16,node,1048576,905.45
6,32,socket,1,2.51
6,32,socket,2,2.35
6,32,socket,4,2.40
6,32,socket,8,2.70
6,32,socket,16,2.36
6,32,socket,32,2.97
6,32,socket,64,2.87
6,32,socket,128,4.12
6,32,socket,256,4.22
6,32,socket,512,4.69
6,32,socket,1024,4.98
6,32,socket,2048,6.90
6,32,socket,4096,9.96
6,32,socket,8192,16.01
6,32,socket,16384,30.55
6,32,socket,32768,51.13
6,32,socket,65536,103.36
6,32,socket,131072,198.50
6,32,socket,262144,406.25
6,32,socket,524288,841.24
6,32,socket,1048576,1545.83
6,32,node,1,3.79
6,32,node,2,4.11
6,32,node,4,3.95
6,32,node,8,3.91
6,32,node,16,3.90
6,32,node,32,4.24
6,32,node,64,4.65
6,32,node,128,5.29
6,32,node,256,5.84
6,32,node,512,6.19
6,32,node,1024,7.00
6,32,node,2048,7.80
6,32,node,4096,10.65
6,32,node,8192,15.07
6,32,node,16384,29.93
6,32,node,32768,51.02
6,32,node,65536,99.35
6,32,node,131072,186.87
6,32,node,262144,374.06
6,32,node,524288,679.96
6,32,node,1048576,1184.29
6,64,socket,1,2.41
6,64,socket,2,2.47
6,64,socket,4,2.41
6,64,socket,8,2.42
6,64,socket,16,2.43
6,64,socket,32,3.23
6,64,socket,64,3.17
6,64,socket,128,4.40
6,64,socket,256,4.52
6,64,socket,512,4.98
6,64,socket,1024,5.20
6,64,socket,2048,7.65
6,64,socket,4096,11.02
6,64,socket,8192,18.95
6,64,socket,16384,36.75
6,64,socket,32768,63.07
6,64,socket,65536,120.41
6,64,socket,131072,228.48
6,64,socket,262144,464.71
6,64,socket,524288,963.39
6,64,socket,1048576,1724.42
6,64,node,1,4.64
6,64,node,2,4.64
6,64,node,4,4.90
6,64,node,8,4.84
6,64,node,16,4.89
6,64,node,32,5.33
6,64,node,64,5.65
6,64,node,128,6.48
6,64,node,256,6.96
6,64,node,512,7.50
6,64,node,1024,8.31
6,64,node,2048,9.41
6,64,node,4096,11.48
6,64,node,8192,16.34
6,64,node,16384,34.77
6,64,node,32768,58.05
6,64,node,65536,120.32
6,64,node,131072,243.60
6,64,node,262144,450.98
6,64,node,524288,898.57
6,64,node,1048576,1588.91
6,128,socket,1,2.85
6,128,socket,2,68.80
6,128,socket,4,5.81
6,128,socket,8,3.06
6,128,socket,16,30.67
6,128,socket,32,3.37
6,128,socket,64,15.53
6,128,socket,128,5.22
6,128,socket,256,5.49
6,128,socket,512,6.64
6,128,socket,1024,6.33
6,128,socket,2048,9.94
6,128,socket,4096,19.34
6,128,socket,8192,25.53
6,128,socket,16384,98.96
6,128,socket,32768,119.64
6,128,socket,65536,198.88
6,128,socket,131072,327.07
6,128,socket,262144,628.57
6,128,socket,524288,1178.88
6,128,socket,1048576,2177.39
6,128,node,1,6.52
6,128,node,2,6.66
6,128,node,4,6.74
6,128,node,8,6.96
6,128,node,16,6.77
6,128,node,32,7.34
6,128,node,64,7.28
6,128,node,128,8.43
6,128,node,256,9.14
6,128,node,512,9.56
6,128,node,1024,10.27
6,128,node,2048,11.96
6,128,node,4096,14.55
6,128,node,8192,19.60
6,128,node,16384,39.07
6,128,node,32768,64.95
6,128,node,65536,134.31
6,128,node,131072,265.95
6,128,node,262144,503.87
6,128,node,524288,1026.93
6,128,node,1048576,1701.86
