Algorithm,MPI_Processes,Allocation,Message_Size,Latency
1,2,socket,1,0.57
1,2,socket,2,0.57
1,2,socket,4,0.56
1,2,socket,8,0.57
1,2,socket,16,0.56
1,2,socket,32,0.68
1,2,socket,64,0.69
1,2,socket,128,0.82
1,2,socket,256,0.85
1,2,socket,512,1.02
1,2,socket,1024,1.05
1,2,socket,2048,1.49
1,2,socket,4096,2.19
1,2,socket,8192,3.25
1,2,socket,16384,4.48
1,2,socket,32768,4.90
1,2,socket,65536,6.70
1,2,socket,131072,13.26
1,2,socket,262144,32.79
1,2,socket,524288,70.12
1,2,socket,1048576,136.84
1,2,node,1,1.70
1,2,node,2,1.69
1,2,node,4,1.70
1,2,node,8,1.70
1,2,node,16,1.71
1,2,node,32,1.77
1,2,node,64,2.26
1,2,node,128,1.80
1,2,node,256,2.37
1,2,node,512,2.40
1,2,node,1024,2.94
1,2,node,2048,3.51
1,2,node,4096,4.34
1,2,node,8192,5.14
1,2,node,16384,5.75
1,2,node,32768,7.86
1,2,node,65536,11.98
1,2,node,131072,17.21
1,2,node,262144,27.81
1,2,node,524288,49.20
1,2,node,1048576,91.82
1,4,socket,1,0.57
1,4,socket,2,0.57
1,4,socket,4,0.60
1,4,socket,8,0.59
1,4,socket,16,0.59
1,4,socket,32,0.64
1,4,socket,64,0.64
1,4,socket,128,0.98
1,4,socket,256,1.03
1,4,socket,512,1.56
1,4,socket,1024,1.57
1,4,socket,2048,2.27
1,4,socket,4096,3.31
1,4,socket,8192,5.45
1,4,socket,16384,11.37
1,4,socket,32768,14.94
1,4,socket,65536,27.46
1,4,socket,131072,55.67
1,4,socket,262144,124.53
1,4,socket,524288,252.86
1,4,socket,1048576,532.87
1,4,node,1,0.88
1,4,node,2,0.87
1,4,node,4,0.89
1,4,node,8,0.88
1,4,node,16,0.92
1,4,node,32,0.97
1,4,node,64,1.37
1,4,node,128,1.15
1,4,node,256,1.47
1,4,node,512,1.65
1,4,node,1024,2.09
1,4,node,2048,1.99
1,4,node,4096,2.81
1,4,node,8192,4.55
1,4,node,16384,5.83
1,4,node,32768,8.74
1,4,node,65536,13.76
1,4,node,131072,22.55
1,4,node,262144,44.01
1,4,node,524288,85.18
1,4,node,1048576,165.31
1,8,socket,1,1.54
1,8,socket,2,1.81
1,8,socket,4,1.93
1,8,socket,8,1.94
1,8,socket,16,1.86
1,8,socket,32,2.11
1,8,socket,64,1.94
1,8,socket,128,4.25
1,8,socket,256,3.59
1,8,socket,512,3.59
1,8,socket,1024,4.04
1,8,socket,2048,5.63
1,8,socket,4096,7.70
1,8,socket,8192,12.46
1,8,socket,16384,18.69
1,8,socket,32768,33.79
1,8,socket,65536,65.90
1,8,socket,131072,135.33
1,8,socket,262144,275.26
1,8,socket,524288,582.58
1,8,socket,1048576,974.18
1,8,node,1,3.12
1,8,node,2,3.15
1,8,node,4,3.14
1,8,node,8,3.15
1,8,node,16,3.14
1,8,node,32,3.22
1,8,node,64,3.40
1,8,node,128,3.31
1,8,node,256,4.17
1,8,node,512,4.32
1,8,node,1024,4.82
1,8,node,2048,5.02
1,8,node,4096,5.91
1,8,node,8192,8.02
1,8,node,16384,8.99
1,8,node,32768,13.19
1,8,node,65536,21.44
1,8,node,131072,36.57
1,8,node,262144,103.76
1,8,node,524288,270.05
1,8,node,1048576,599.74
1,16,socket,1,3.06
1,16,socket,2,3.13
1,16,socket,4,3.32
1,16,socket,8,3.23
1,16,socket,16,3.19
1,16,socket,32,3.51
1,16,socket,64,3.50
1,16,socket,128,6.08
1,16,socket,256,6.33
1,16,socket,512,6.99
1,16,socket,1024,7.45
1,16,socket,2048,10.90
1,16,socket,4096,14.49
1,16,socket,8192,23.43
1,16,socket,16384,30.73
