Algorithm,MPI_Processes,Allocation,Message_Size,Latency
3,2,socket,1,0.59
3,2,socket,2,0.61
3,2,socket,4,0.59
3,2,socket,8,0.60
3,2,socket,16,0.59
3,2,socket,32,0.71
3,2,socket,64,0.71
3,2,socket,128,0.86
3,2,socket,256,0.89
3,2,socket,512,1.14
3,2,socket,1024,1.09
3,2,socket,2048,1.48
3,2,socket,4096,2.14
3,2,socket,8192,3.35
3,2,socket,16384,4.30
3,2,socket,32768,4.90
3,2,socket,65536,6.31
3,2,socket,131072,12.31
3,2,socket,262144,31.44
3,2,socket,524288,69.37
3,2,socket,1048576,137.23
3,2,node,1,1.74
3,2,node,2,1.73
3,2,node,4,1.74
3,2,node,8,1.74
3,2,node,16,1.74
3,2,node,32,1.84
3,2,node,64,2.28
3,2,node,128,1.84
3,2,node,256,2.41
3,2,node,512,2.41
3,2,node,1024,2.96
3,2,node,2048,3.56
3,2,node,4096,4.38
3,2,node,8192,5.17
3,2,node,16384,6.01
3,2,node,32768,8.04
3,2,node,65536,12.07
3,2,node,131072,17.53
3,2,node,262144,27.97
3,2,node,524288,49.29
3,2,node,1048576,92.42
3,4,socket,1,1.32
3,4,socket,2,1.36
3,4,socket,4,1.38
3,4,socket,8,1.38
3,4,socket,16,1.37
3,4,socket,32,1.67
3,4,socket,64,1.68
3,4,socket,128,2.05
3,4,socket,256,2.11
3,4,socket,512,2.77
3,4,socket,1024,2.79
3,4,socket,2048,3.76
3,4,socket,4096,5.37
3,4,socket,8192,8.06
3,4,socket,16384,20.55
3,4,socket,32768,30.49
3,4,socket,65536,48.43
3,4,socket,131072,81.98
3,4,socket,262144,144.90
3,4,socket,524288,266.96
3,4,socket,1048576,500.08
3,4,node,1,2.29
3,4,node,2,2.29
3,4,node,4,2.29
3,4,node,8,2.34
3,4,node,16,2.29
3,4,node,32,2.44
3,4,node,64,2.78
3,4,node,128,2.67
3,4,node,256,3.41
3,4,node,512,3.84
3,4,node,1024,4.77
3,4,node,2048,4.78
3,4,node,4096,6.06
3,4,node,8192,11.01
3,4,node,16384,12.63
3,4,node,32768,17.59
3,4,node,65536,25.00
3,4,node,131072,37.62
3,4,node,262144,63.24
3,4,node,524288,111.09
3,4,node,1048576,206.78
3,8,socket,1,3.70
3,8,socket,2,3.79
3,8,socket,4,4.19
3,8,socket,8,3.86
3,8,socket,16,3.85
3,8,socket,32,4.55
3,8,socket,64,4.57
3,8,socket,128,5.53
3,8,socket,256,5.65
3,8,socket,512,6.41
3,8,socket,1024,6.98
3,8,socket,2048,9.31
3,8,socket,4096,12.36
3,8,socket,8192,19.27
3,8,socket,16384,39.73
3,8,socket,32768,65.15
3,8,socket,65536,114.77
3,8,socket,131072,205.72
3,8,socket,262144,360.20
3,8,socket,524288,616.41
3,8,socket,1048576,1153.52
3,8,node,1,7.55
3,8,node,2,7.70
3,8,node,4,7.55
3,8,node,8,7.54
3,8,node,16,7.56
3,8,node,32,7.87
3,8,node,64,9.56
3,8,node,128,8.31
3,8,node,256,10.57
3,8,node,512,11.30
3,8,node,1024,13.38
3,8,node,2048,13.57
3,8,node,4096,16.61
3,8,node,8192,19.48
3,8,node,16384,22.36
3,8,node,32768,30.10
3,8,node,65536,42.40
3,8,node,131072,66.86
3,8,node,262144,113.88
3,8,node,524288,204.26
3,8,node,1048576,382.19
3,16,socket,1,7.48
3,16,socket,2,8.03
3,16,socket,4,7.62
3,16,socket,8,7.64
3,16,socket,16,7.64
3,16,socket,32,9.37
3,16,socket,64,9.30
3,16,socket,128,11.08
3,16,socket,256,11.29
3,16,socket,512,13.22
3,16,socket,1024,14.14
3,16,socket,2048,19.21
3,16,socket,4096,25.10
3,16,socket,8192,38.55
3,16,socket,16384,77.90
3,16,socket,32768,132.68
3,16,socket,65536,220.18
3,16,socket,131072,399.43
3,16,socket,262144,705.62
3,16,socket,524288,1193.47
3,16,socket,1048576,2225.60
3,16,node,1,15.19
3,16,node,2,14.63
3,16,node,4,14.71
3,16,node,8,14.69
3,16,node,16,14.70
3,16,node,32,15.29
3,16,node,64,18.82
3,16,node,128,16.32
3,16,node,256,20.52
3,16,node,512,22.16
3,16,node,1024,26.10
3,16,node,2048,27.01
3,16,node,4096,33.30
3,16,node,8192,38.68
3,16,node,16384,51.06
3,16,node,32768,63.80
3,16,node,65536,88.26
3,16,node,131072,139.20
3,16,node,262144,236.96
3,16,node,524288,430.22
3,16,node,1048576,785.84
3,32,socket,1,15.19
3,32,socket,2,14.94
3,32,socket,4,14.97
3,32,socket,8,14.98
3,32,socket,16,15.15
3,32,socket,32,18.66
3,32,socket,64,18.40
3,32,socket,128,22.34
3,32,socket,256,22.90
3,32,socket,512,26.49
3,32,socket,1024,28.33
3,32,socket,2048,39.36
3,32,socket,4096,58.01
3,32,socket,8192,112.32
3,32,socket,16384,236.87
3,32,socket,32768,415.35
3,32,socket,65536,435.10
3,32,socket,131072,779.99
3,32,socket,262144,1362.24
3,32,socket,524288,2348.09
3,32,socket,1048576,4344.48
3,32,node,1,29.37
3,32,node,2,29.32
3,32,node,4,29.24
3,32,node,8,29.21
3,32,node,16,29.12
3,32,node,32,30.38
3,32,node,64,37.61
3,32,node,128,38.17
3,32,node,256,46.68
3,32,node,512,50.02
3,32,node,1024,57.71
3,32,node,2048,60.78
3,32,node,4096,73.21
3,32,node,8192,83.41
3,32,node,16384,100.51
3,32,node,32768,127.90
3,32,node,65536,179.24
3,32,node,131072,283.04
3,32,node,262144,478.05
3,32,node,524288,819.84
3,32,node,1048576,1527.17
3,64,socket,1,30.24
3,64,socket,2,32.14
3,64,socket,4,30.58
3,64,socket,8,31.04
3,64,socket,16,30.60
3,64,socket,32,37.28
3,64,socket,64,36.69
3,64,socket,128,42.36
3,64,socket,256,43.69
3,64,socket,512,54.96
3,64,socket,1024,66.51
3,64,socket,2048,97.54
3,64,socket,4096,156.85
3,64,socket,8192,300.43
3,64,socket,16384,459.03
3,64,socket,32768,575.40
3,64,socket,65536,840.02
3,64,socket,131072,1521.73
3,64,socket,262144,2658.30
3,64,socket,524288,4561.55
3,64,socket,1048576,8539.56
3,64,node,1,63.78
3,64,node,2,63.50
3,64,node,4,63.55
3,64,node,8,63.41
3,64,node,16,63.34
3,64,node,32,63.89
3,64,node,64,66.57
3,64,node,128,67.30
3,64,node,256,89.01
3,64,node,512,102.99
3,64,node,1024,130.43
3,64,node,2048,114.52
3,64,node,4096,137.21
3,64,node,8192,158.07
3,64,node,16384,200.58
3,64,node,32768,252.24
3,64,node,65536,346.35
3,64,node,131072,551.68
3,64,node,262144,919.46
3,64,node,524288,1622.84
3,64,node,1048576,3031.62
3,128,socket,1,164.65
3,128,socket,2,162.84
3,128,socket,4,72.00
3,128,socket,8,73.56
3,128,socket,16,61.82
3,128,socket,32,103.46
3,128,socket,64,75.49
3,128,socket,128,92.00
3,128,socket,256,95.23
3,128,socket,512,117.05
3,128,socket,1024,136.11
3,128,socket,2048,198.55
3,128,socket,4096,302.16
3,128,socket,8192,560.73
3,128,socket,16384,725.60
3,128,socket,32768,8075.72
3,128,socket,65536,1759.36
3,128,socket,131072,4461.78
3,128,socket,262144,11260.65
3,128,socket,524288,13536.35
3,128,socket,1048576,19740.80
3,128,node,1,163.33
3,128,node,2,163.42
3,128,node,4,161.09
3,128,node,8,163.80
3,128,node,16,160.76
3,128,node,32,164.33
3,128,node,64,170.54
3,128,node,128,174.57
3,128,node,256,204.52
3,128,node,512,222.82
3,128,node,1024,247.93
3,128,node,2048,269.22
3,128,node,4096,313.98
3,128,node,8192,355.24
3,128,node,16384,416.63
3,128,node,32768,515.51
3,128,node,65536,771.19
3,128,node,131072,1168.72
3,128,node,262144,1860.59
3,128,node,524288,3278.23
3,128,node,1048576,6087.05
