Algorithm,MPI_Processes,Allocation,Message_Size,Latency
5,2,socket,1,0.59
5,2,socket,2,0.60
5,2,socket,4,0.59
5,2,socket,8,0.59
5,2,socket,16,0.59
5,2,socket,32,0.68
5,2,socket,64,0.68
5,2,socket,128,0.86
5,2,socket,256,0.87
5,2,socket,512,1.06
5,2,socket,1024,1.11
5,2,socket,2048,1.54
5,2,socket,4096,2.21
5,2,socket,8192,3.34
5,2,socket,16384,5.95
5,2,socket,32768,11.03
5,2,socket,65536,20.92
5,2,socket,131072,40.99
5,2,socket,262144,37.52
5,2,socket,524288,71.33
5,2,socket,1048576,135.66
5,2,node,1,1.75
5,2,node,2,1.77
5,2,node,4,1.76
5,2,node,8,1.77
5,2,node,16,1.75
5,2,node,32,1.86
5,2,node,64,1.88
5,2,node,128,1.89
5,2,node,256,2.31
5,2,node,512,2.59
5,2,node,1024,2.79
5,2,node,2048,2.61
5,2,node,4096,2.98
5,2,node,8192,3.40
5,2,node,16384,4.24
5,2,node,32768,5.74
5,2,node,65536,8.13
5,2,node,131072,13.25
5,2,node,262144,36.47
5,2,node,524288,64.98
5,2,node,1048576,123.06
5,4,socket,1,1.13
5,4,socket,2,1.13
5,4,socket,4,1.12
5,4,socket,8,1.13
5,4,socket,16,1.13
5,4,socket,32,1.25
5,4,socket,64,1.26
5,4,socket,128,1.53
5,4,socket,256,1.51
5,4,socket,512,1.69
5,4,socket,1024,1.76
5,4,socket,2048,2.40
5,4,socket,4096,3.50
5,4,socket,8192,5.18
5,4,socket,16384,9.28
5,4,socket,32768,17.08
5,4,socket,65536,31.93
5,4,socket,131072,64.73
5,4,socket,262144,78.58
5,4,socket,524288,126.97
5,4,socket,1048576,247.68
5,4,node,1,2.02
5,4,node,2,2.02
5,4,node,4,2.06
5,4,node,8,2.04
5,4,node,16,2.08
5,4,node,32,2.08
5,4,node,64,2.10
5,4,node,128,2.13
5,4,node,256,2.50
5,4,node,512,2.65
5,4,node,1024,3.08
5,4,node,2048,3.07
5,4,node,4096,3.64
5,4,node,8192,4.73
5,4,node,16384,6.28
5,4,node,32768,10.54
5,4,node,65536,17.52
5,4,node,131072,32.31
5,4,node,262144,77.02
5,4,node,524288,140.93
5,4,node,1048576,270.72
5,8,socket,1,1.09
5,8,socket,2,1.26
5,8,socket,4,1.28
5,8,socket,8,1.40
5,8,socket,16,1.24
5,8,socket,32,1.43
5,8,socket,64,1.44
5,8,socket,128,1.62
5,8,socket,256,1.68
5,8,socket,512,1.85
5,8,socket,1024,2.06
5,8,socket,2048,2.79
5,8,socket,4096,4.17
5,8,socket,8192,6.20
5,8,socket,16384,11.29
5,8,socket,32768,20.44
5,8,socket,65536,38.57
5,8,socket,131072,75.28
5,8,socket,262144,143.89
5,8,socket,524288,198.64
5,8,socket,1048576,405.49
5,8,node,1,2.40
5,8,node,2,2.34
5,8,node,4,2.33
5,8,node,8,2.44
5,8,node,16,2.37
5,8,node,32,2.36
5,8,node,64,2.55
5,8,node,128,2.61
5,8,node,256,3.06
5,8,node,512,3.27
5,8,node,1024,3.78
5,8,node,2048,4.09
5,8,node,4096,5.22
5,8,node,8192,6.06
5,8,node,16384,9.17
5,8,node,32768,14.98
5,8,node,65536,26.47
5,8,node,131072,61.39
5,8,node,262144,132.26
5,8,node,524288,257.48
5,8,node,1048576,930.17
5,16,socket,1,1.26
5,16,socket,2,1.50
5,16,socket,4,1.56
