Algorithm,MPI_Processes,Allocation,Message_Size,Latency
3,2,socket,1,0.58
3,2,socket,2,0.59
3,2,socket,4,0.58
3,2,socket,8,0.59
3,2,socket,16,0.58
3,2,socket,32,0.68
3,2,socket,64,0.69
3,2,socket,128,0.85
3,2,socket,256,0.87
3,2,socket,512,0.99
3,2,socket,1024,1.07
3,2,socket,2048,1.47
3,2,socket,4096,2.21
3,2,socket,8192,3.33
3,2,socket,16384,5.95
3,2,socket,32768,11.04
3,2,socket,65536,20.99
3,2,socket,131072,41.11
3,2,socket,262144,38.63
3,2,socket,524288,70.86
3,2,socket,1048576,135.71
3,2,node,1,1.76
3,2,node,2,1.77
3,2,node,4,1.76
3,2,node,8,1.77
3,2,node,16,1.76
3,2,node,32,1.86
3,2,node,64,1.90
3,2,node,128,1.84
3,2,node,256,2.25
3,2,node,512,2.43
3,2,node,1024,2.80
3,2,node,2048,2.62
3,2,node,4096,2.99
3,2,node,8192,3.41
3,2,node,16384,4.25
3,2,node,32768,5.74
3,2,node,65536,8.14
3,2,node,131072,13.19
3,2,node,262144,36.34
3,2,node,524288,64.91
3,2,node,1048576,123.03
3,4,socket,1,1.96
3,4,socket,2,2.00
3,4,socket,4,1.99
3,4,socket,8,2.01
3,4,socket,16,2.00
3,4,socket,32,2.29
3,4,socket,64,2.22
3,4,socket,128,2.54
3,4,socket,256,2.61
3,4,socket,512,2.83
3,4,socket,1024,3.32
3,4,socket,2048,4.47
3,4,socket,4096,5.98
3,4,socket,8192,9.39
3,4,socket,16384,15.97
3,4,socket,32768,26.42
3,4,socket,65536,47.34
3,4,socket,131072,94.51
3,4,socket,262144,195.85
3,4,socket,524288,264.92
3,4,socket,1048576,484.46
3,4,node,1,3.85
3,4,node,2,3.81
3,4,node,4,3.88
3,4,node,8,3.91
3,4,node,16,3.82
3,4,node,32,3.96
3,4,node,64,4.43
3,4,node,128,4.15
3,4,node,256,5.57
3,4,node,512,5.46
3,4,node,1024,6.45
3,4,node,2048,6.46
3,4,node,4096,7.91
3,4,node,8192,8.79
3,4,node,16384,10.98
3,4,node,32768,15.19
3,4,node,65536,21.96
3,4,node,131072,40.08
3,4,node,262144,89.27
3,4,node,524288,161.59
3,4,node,1048576,304.52
3,8,socket,1,3.94
3,8,socket,2,4.29
3,8,socket,4,4.22
3,8,socket,8,4.13
3,8,socket,16,4.09
3,8,socket,32,4.65
3,8,socket,64,4.74
3,8,socket,128,5.52
3,8,socket,256,5.68
3,8,socket,512,6.16
3,8,socket,1024,7.20
3,8,socket,2048,9.73
3,8,socket,4096,13.49
3,8,socket,8192,20.20
3,8,socket,16384,33.81
3,8,socket,32768,59.72
3,8,socket,65536,107.92
3,8,socket,131072,215.19
3,8,socket,262144,442.71
3,8,socket,524288,644.37
3,8,socket,1048576,1313.53
3,8,node,1,7.68
3,8,node,2,7.92
3,8,node,4,7.67
3,8,node,8,7.67
3,8,node,16,7.67
3,8,node,32,8.02
3,8,node,64,8.92
3,8,node,128,8.39
3,8,node,256,11.27
3,8,node,512,11.03
3,8,node,1024,12.77
3,8,node,2048,13.82
3,8,node,4096,16.72
3,8,node,8192,18.71
3,8,node,16384,24.48
3,8,node,32768,35.49
3,8,node,65536,50.01
3,8,node,131072,87.91
3,8,node,262144,179.25
3,8,node,524288,335.59
3,8,node,1048576,612.57
3,16,socket,1,8.10
3,16,socket,2,7.88
3,16,socket,4,7.95
3,16,socket,8,7.94
3,16,socket,16,7.91
3,16,socket,32,9.62
3,16,socket,64,9.41
3,16,socket,128,11.01
3,16,socket,256,11.33
3,16,socket,512,13.15
3,16,socket,1024,14.20
3,16,socket,2048,19.60
3,16,socket,4096,25.74
3,16,socket,8192,40.88
3,16,socket,16384,69.88
3,16,socket,32768,141.89
3,16,socket,65536,316.58
3,16,socket,131072,754.83
3,16,socket,262144,772.57
3,16,socket,524288,1328.08
3,16,socket,1048576,2433.15
3,16,node,1,14.80
3,16,node,2,14.23
3,16,node,4,14.26
3,16,node,8,14.35
3,16,node,16,14.28
3,16,node,32,14.89
3,16,node,64,16.54
3,16,node,128,15.83
3,16,node,256,20.47
3,16,node,512,20.29
3,16,node,1024,23.43
3,16,node,2048,26.38
3,16,node,4096,32.64
3,16,node,8192,37.17
3,16,node,16384,49.77
3,16,node,32768,71.25
3,16,node,65536,100.43
3,16,node,131072,175.97
3,16,node,262144,348.19
3,16,node,524288,630.31
3,16,node,1048576,1195.90
3,32,socket,1,15.56
3,32,socket,2,15.61
3,32,socket,4,16.35
3,32,socket,8,15.53
3,32,socket,16,15.69
3,32,socket,32,18.95
3,32,socket,64,18.84
3,32,socket,128,22.58
3,32,socket,256,23.06
3,32,socket,512,26.80
3,32,socket,1024,29.01
3,32,socket,2048,41.44
3,32,socket,4096,68.29
3,32,socket,8192,137.69
3,32,socket,16384,260.74
3,32,socket,32768,471.54
3,32,socket,65536,975.63
3,32,socket,131072,1628.52
3,32,socket,262144,1439.51
3,32,socket,524288,2580.13
3,32,socket,1048576,4941.14
3,32,node,1,29.52
3,32,node,2,28.58
3,32,node,4,28.61
3,32,node,8,28.83
3,32,node,16,28.64
3,32,node,32,29.96
3,32,node,64,35.33
3,32,node,128,32.92
3,32,node,256,43.58
3,32,node,512,41.18
3,32,node,1024,49.32
3,32,node,2048,53.88
3,32,node,4096,69.31
3,32,node,8192,76.13
3,32,node,16384,98.75
3,32,node,32768,146.09
3,32,node,65536,214.02
3,32,node,131072,362.48
3,32,node,262144,690.47
3,32,node,524288,1255.37
3,32,node,1048576,2379.63
3,64,socket,1,30.10
3,64,socket,2,30.79
3,64,socket,4,29.93
3,64,socket,8,30.07
3,64,socket,16,30.04
3,64,socket,32,37.25
3,64,socket,64,36.64
3,64,socket,128,43.21
3,64,socket,256,43.64
3,64,socket,512,54.75
3,64,socket,1024,61.19
3,64,socket,2048,91.42
3,64,socket,4096,142.03
3,64,socket,8192,266.38
3,64,socket,16384,482.52
3,64,socket,32768,877.55
3,64,socket,65536,1634.82
3,64,socket,131072,2937.43
3,64,socket,262144,2884.01
3,64,socket,524288,4600.94
3,64,socket,1048576,9348.50
3,64,node,1,65.14
3,64,node,2,64.03
3,64,node,4,64.24
3,64,node,8,63.99
3,64,node,16,63.82
3,64,node,32,64.46
3,64,node,64,67.49
3,64,node,128,68.17
3,64,node,256,84.56
3,64,node,512,87.76
3,64,node,1024,95.12
3,64,node,2048,115.76
3,64,node,4096,135.96
3,64,node,8192,154.42
3,64,node,16384,195.10
3,64,node,32768,275.52
3,64,node,65536,398.39
3,64,node,131072,670.15
3,64,node,262144,1385.26
3,64,node,524288,2510.73
3,64,node,1048576,4781.61
3,128,socket,1,200.18
3,128,socket,2,79.67
3,128,socket,4,79.78
3,128,socket,8,70.23
3,128,socket,16,75.35
3,128,socket,32,82.76
3,128,socket,64,76.74
3,128,socket,128,93.02
3,128,socket,256,94.77
3,128,socket,512,124.92
3,128,socket,1024,138.67
3,128,socket,2048,225.35
3,128,socket,4096,331.16
3,128,socket,8192,601.08
3,128,socket,16384,840.15
3,128,socket,32768,2012.85
3,128,socket,65536,4062.68
3,128,socket,131072,7992.40
3,128,socket,262144,8241.11
3,128,socket,524288,15588.44
3,128,socket,1048576,24571.58
3,128,node,1,163.84
3,128,node,2,167.38
3,128,node,4,161.37
3,128,node,8,167.34
3,128,node,16,161.17
3,128,node,32,167.59
3,128,node,64,171.71
3,128,node,128,177.94
3,128,node,256,204.58
3,128,node,512,218.51
3,128,node,1024,226.86
3,128,node,2048,273.19
3,128,node,4096,310.95
3,128,node,8192,345.87
3,128,node,16384,413.36
3,128,node,32768,570.92
3,128,node,65536,818.76
3,128,node,131072,1310.47
3,128,node,262144,2805.57
3,128,node,524288,5056.89
3,128,node,1048576,9623.59
