Algorithm,MPI_Processes,Allocation,Latency
5,2,socket,0.72
5,2,node,1.72
5,3,socket,0.96
5,3,node,1.68
5,4,socket,0.94
5,4,node,0.87
5,5,socket,0.84
5,5,node,1.04
5,6,socket,1.18
5,6,node,1.34
5,7,socket,1.25
5,7,node,1.42
5,8,socket,1.59
5,8,node,2.70
5,9,socket,2.02
5,9,node,3.55
5,10,socket,1.91
5,10,node,3.68
5,11,socket,1.91
5,11,node,3.11
5,12,socket,2.01
5,12,node,3.62
5,13,socket,1.56
5,13,node,3.31
5,14,socket,1.65
5,14,node,3.46
5,15,socket,2.04
5,15,node,3.26
5,16,socket,2.06
5,16,node,3.46
5,17,socket,2.18
5,17,node,3.66
5,18,socket,2.49
5,18,node,3.91
5,19,socket,2.34
5,19,node,3.61
5,20,socket,2.83
5,20,node,3.68
5,21,socket,2.44
5,21,node,3.55
5,22,socket,2.57
5,22,node,3.62
5,23,socket,2.57
5,23,node,3.58
5,24,socket,2.63
5,24,node,3.60
5,25,socket,2.34
5,25,node,3.66
5,26,socket,2.80
5,26,node,3.82
5,27,socket,2.81
5,27,node,3.90
5,28,socket,2.39
5,28,node,4.00
5,29,socket,2.63
5,29,node,4.07
5,30,socket,2.71
5,30,node,4.17
5,31,socket,2.67
5,31,node,4.21
5,32,socket,2.74
5,32,node,4.04
5,33,socket,3.51
5,33,node,4.25
5,34,socket,3.27
5,34,node,4.34
5,35,socket,3.22
5,35,node,4.46
5,36,socket,3.53
5,36,node,4.65
5,37,socket,3.31
5,37,node,4.22
5,38,socket,3.27
5,38,node,4.58
5,39,socket,3.35
5,39,node,4.12
5,40,socket,3.18
5,40,node,3.96
5,41,socket,3.09
5,41,node,4.11
5,42,socket,3.23
5,42,node,4.40
5,43,socket,3.28
5,43,node,3.92
5,44,socket,3.23
5,44,node,4.16
5,45,socket,3.04
5,45,node,4.33
5,46,socket,3.15
5,46,node,4.12
5,47,socket,3.15
5,47,node,4.07
5,48,socket,3.30
5,48,node,4.66
5,49,socket,3.08
5,49,node,4.41
5,50,socket,3.01
5,50,node,4.65
5,51,socket,3.26
5,51,node,4.46
5,52,socket,3.12
5,52,node,4.47
5,53,socket,3.00
5,53,node,4.11
5,54,socket,3.25
5,54,node,4.58
5,55,socket,3.27
5,55,node,4.20
5,56,socket,3.36
5,56,node,4.09
5,57,socket,3.00
5,57,node,4.60
5,58,socket,3.07
5,58,node,4.59
5,59,socket,3.16
5,59,node,4.33
5,60,socket,2.90
5,60,node,5.09
5,61,socket,2.77
5,61,node,5.59
5,62,socket,3.13
5,62,node,5.36
5,63,socket,3.24
5,63,node,4.97
5,64,socket,2.92
5,64,node,5.99
5,65,socket,3.36
5,65,node,6.47
5,66,socket,2.84
5,66,node,5.70
5,67,socket,3.46
5,67,node,6.28
5,68,socket,2.95
5,68,node,5.61
5,69,socket,3.60
5,69,node,6.79
5,70,socket,2.96
5,70,node,5.70
5,71,socket,3.50
5,71,node,6.98
5,72,socket,2.95
5,72,node,6.06
5,73,socket,3.59
5,73,node,7.40
5,74,socket,3.01
5,74,node,6.40
5,75,socket,3.61
5,75,node,7.37
5,76,socket,3.31
5,76,node,5.78
5,77,socket,3.84
5,77,node,7.89
5,78,socket,2.98
5,78,node,6.05
5,79,socket,3.89
5,79,node,8.15
5,80,socket,3.26
5,80,node,6.16
5,81,socket,3.82
5,81,node,8.36
5,82,socket,3.41
5,82,node,6.40
5,83,socket,3.88
5,83,node,7.78
5,84,socket,3.42
5,84,node,6.36
5,85,socket,3.97
5,85,node,8.33
5,86,socket,3.17
5,86,node,6.70
5,87,socket,3.85
5,87,node,8.52
5,88,socket,3.29
5,88,node,6.99
5,89,socket,3.94
