Algorithm,MPI_Processes,Allocation,Latency
1,2,socket,0.57
1,2,node,1.70
1,3,socket,1.07
1,3,node,1.65
1,4,socket,0.57
1,4,node,0.87
1,5,socket,0.63
1,5,node,1.00
1,6,socket,0.84
1,6,node,1.40
1,7,socket,1.03
1,7,node,1.55
1,8,socket,1.77
1,8,node,3.11
1,9,socket,2.37
1,9,node,4.08
1,10,socket,2.34
1,10,node,3.91
1,11,socket,2.17
1,11,node,3.36
1,12,socket,2.11
1,12,node,3.84
1,13,socket,2.30
1,13,node,3.50
1,14,socket,2.53
1,14,node,3.90
1,15,socket,2.56
1,15,node,3.46
1,16,socket,2.97
1,16,node,4.18
1,17,socket,3.09
1,17,node,4.85
1,18,socket,3.06
1,18,node,4.35
1,19,socket,3.00
1,19,node,4.35
1,20,socket,3.73
1,20,node,4.96
1,21,socket,3.47
1,21,node,4.72
1,22,socket,4.04
1,22,node,4.90
1,23,socket,4.00
1,23,node,4.85
1,24,socket,4.38
1,24,node,5.51
1,25,socket,4.30
1,25,node,5.28
1,26,socket,4.53
1,26,node,5.31
1,27,socket,4.43
1,27,node,5.32
1,28,socket,4.29
1,28,node,5.64
1,29,socket,4.42
1,29,node,5.53
1,30,socket,4.81
1,30,node,6.30
1,31,socket,5.32
1,31,node,5.96
1,32,socket,5.14
1,32,node,6.57
1,33,socket,6.44
1,33,node,7.18
1,34,socket,5.95
1,34,node,6.76
1,35,socket,5.80
1,35,node,6.89
1,36,socket,6.44
1,36,node,7.60
1,37,socket,6.44
1,37,node,6.99
1,38,socket,6.52
1,38,node,7.40
1,39,socket,6.79
1,39,node,7.62
1,40,socket,6.66
1,40,node,8.09
1,41,socket,6.65
1,41,node,7.95
1,42,socket,7.16
1,42,node,7.93
1,43,socket,6.99
1,43,node,7.71
1,44,socket,7.10
1,44,node,8.12
1,45,socket,7.02
1,45,node,8.19
1,46,socket,7.45
1,46,node,8.87
1,47,socket,7.13
1,47,node,8.29
1,48,socket,7.89
1,48,node,9.32
1,49,socket,7.95
1,49,node,8.89
1,50,socket,7.77
1,50,node,8.62
1,51,socket,7.77
1,51,node,9.01
1,52,socket,8.37
1,52,node,9.31
1,53,socket,8.12
1,53,node,9.46
1,54,socket,8.10
1,54,node,9.49
1,55,socket,8.68
1,55,node,9.45
1,56,socket,8.62
1,56,node,9.46
1,57,socket,8.45
1,57,node,9.69
1,58,socket,8.46
1,58,node,10.08
1,59,socket,8.51
1,59,node,9.64
1,60,socket,9.54
1,60,node,13.93
1,61,socket,9.35
1,61,node,13.48
1,62,socket,9.13
1,62,node,14.16
1,63,socket,8.71
1,63,node,14.16
1,64,socket,9.12
1,64,node,13.33
1,65,socket,9.19
1,65,node,14.30
1,66,socket,9.33
1,66,node,14.17
1,67,socket,9.36
1,67,node,14.93
1,68,socket,9.46
1,68,node,14.62
1,69,socket,10.41
1,69,node,15.16
1,70,socket,9.77
1,70,node,15.40
1,71,socket,9.92
1,71,node,15.99
1,72,socket,10.08
1,72,node,16.20
1,73,socket,10.61
1,73,node,17.03
1,74,socket,10.57
1,74,node,17.06
1,75,socket,10.40
1,75,node,17.97
1,76,socket,10.70
1,76,node,17.41
1,77,socket,11.66
1,77,node,18.20
1,78,socket,11.51
1,78,node,17.68
