Algorithm,MPI_Processes,Allocation,Latency
3,2,socket,0.59
3,2,node,1.71
3,3,socket,1.12
3,3,node,1.80
3,4,socket,1.17
3,4,node,2.29
3,5,socket,1.91
3,5,node,3.32
3,6,socket,2.52
3,6,node,4.37
3,7,socket,2.97
3,7,node,5.33
3,8,socket,3.55
3,8,node,7.52
3,9,socket,4.55
3,9,node,8.00
3,10,socket,5.10
3,10,node,10.10
3,11,socket,5.11
3,11,node,9.55
3,12,socket,5.53
3,12,node,11.69
3,13,socket,5.94
3,13,node,11.20
3,14,socket,6.46
3,14,node,13.25
3,15,socket,6.64
3,15,node,12.61
3,16,socket,7.07
3,16,node,15.03
3,17,socket,8.64
3,17,node,14.62
3,18,socket,9.21
3,18,node,16.94
3,19,socket,9.09
3,19,node,16.22
3,20,socket,10.26
3,20,node,18.45
3,21,socket,10.02
3,21,node,17.81
3,22,socket,10.04
3,22,node,20.28
3,23,socket,11.00
3,23,node,19.74
3,24,socket,12.37
3,24,node,22.31
3,25,socket,12.38
3,25,node,21.69
3,26,socket,12.74
3,26,node,23.90
3,27,socket,13.02
3,27,node,23.52
3,28,socket,13.38
3,28,node,25.76
3,29,socket,13.66
3,29,node,25.40
3,30,socket,14.20
3,30,node,27.45
3,31,socket,14.47
3,31,node,26.88
3,32,socket,15.91
3,32,node,29.90
3,33,socket,16.39
3,33,node,29.09
3,34,socket,16.40
3,34,node,31.22
3,35,socket,17.23
3,35,node,30.66
3,36,socket,17.30
3,36,node,32.73
3,37,socket,17.98
3,37,node,32.05
3,38,socket,18.54
3,38,node,34.15
3,39,socket,18.53
3,39,node,33.96
3,40,socket,19.27
3,40,node,36.55
3,41,socket,19.57
3,41,node,35.90
3,42,socket,19.83
3,42,node,37.94
3,43,socket,20.05
3,43,node,37.54
3,44,socket,20.47
3,44,node,39.82
3,45,socket,21.24
3,45,node,39.11
3,46,socket,21.48
3,46,node,41.27
3,47,socket,21.93
3,47,node,41.03
3,48,socket,22.64
3,48,node,43.57
3,49,socket,22.27
3,49,node,42.25
3,50,socket,22.90
3,50,node,44.31
3,51,socket,23.29
3,51,node,44.05
3,52,socket,23.87
3,52,node,46.54
3,53,socket,24.23
3,53,node,45.99
3,54,socket,24.85
3,54,node,48.28
3,55,socket,25.12
3,55,node,48.13
3,56,socket,26.31
3,56,node,50.24
3,57,socket,26.14
3,57,node,50.00
3,58,socket,26.34
3,58,node,51.80
3,59,socket,26.87
3,59,node,51.00
3,60,socket,27.52
3,60,node,60.09
3,61,socket,27.77
3,61,node,59.32
3,62,socket,28.44
3,62,node,62.13
3,63,socket,28.90
3,63,node,61.45
3,64,socket,30.50
3,64,node,64.35
3,65,socket,32.69
3,65,node,66.94
3,66,socket,32.31
3,66,node,67.93
3,67,socket,32.59
3,67,node,70.44
3,68,socket,33.57
3,68,node,71.75
3,69,socket,33.93
3,69,node,73.75
3,70,socket,35.23
3,70,node,74.85
3,71,socket,35.76
3,71,node,76.63
3,72,socket,35.91
3,72,node,78.49
3,73,socket,35.86
3,73,node,80.10
3,74,socket,36.99
3,74,node,82.05
3,75,socket,37.92
3,75,node,82.38
3,76,socket,38.68
3,76,node,84.55
3,77,socket,38.26
3,77,node,85.61
3,78,socket,40.08
3,78,node,88.15
3,79,socket,40.43
3,79,node,87.03
3,80,socket,41.02
3,80,node,90.13
3,81,socket,41.28
3,81,node,91.19
3,82,socket,40.95
3,82,node,93.93
3,83,socket,41.92
3,83,node,93.73
3,84,socket,42.99
3,84,node,96.50
3,85,socket,43.72
3,85,node,97.03
3,86,socket,43.79
3,86,node,100.44
3,87,socket,43.85
3,87,node,99.12
3,88,socket,44.93
3,88,node,103.92
3,89,socket,45.33
3,89,node,102.38
3,90,socket,44.91
3,90,node,106.27
3,91,socket,46.72
3,91,node,105.89
3,92,socket,45.73
3,92,node,109.54
3,93,socket,48.35
3,93,node,109.26
3,94,socket,49.33
3,94,node,113.04
3,95,socket,49.88
3,95,node,111.62
3,96,socket,49.82
3,96,node,115.16
3,97,socket,50.91
3,97,node,114.63
3,98,socket,49.84
3,98,node,118.06
3,99,socket,51.38
3,99,node,117.38
3,100,socket,52.09
3,100,node,121.40
3,101,socket,53.25
3,101,node,120.17
3,102,socket,53.15
3,102,node,124.02
3,103,socket,53.95
3,103,node,122.88
3,104,socket,54.26
3,104,node,127.44
3,105,socket,54.68
3,105,node,126.70
3,106,socket,55.71
3,106,node,131.28
3,107,socket,57.56
3,107,node,129.38
3,108,socket,57.04
3,108,node,133.68
3,109,socket,57.46
3,109,node,133.37
3,110,socket,58.55
3,110,node,137.40
3,111,socket,59.58
3,111,node,135.36
3,112,socket,58.69
3,112,node,139.74
3,113,socket,58.75
3,113,node,138.92
3,114,socket,59.96
3,114,node,142.07
3,115,socket,60.01
3,115,node,140.80
3,116,socket,61.19
3,116,node,145.28
3,117,socket,63.29
3,117,node,144.74
3,118,socket,62.70
3,118,node,149.48
3,119,socket,62.36
3,119,node,147.40
3,120,socket,63.78
3,120,node,152.26
3,121,socket,66.86
3,121,node,151.02
3,122,socket,96.79
3,122,node,155.47
3,123,socket,122.07
3,123,node,154.51
3,124,socket,113.69
3,124,node,158.88
3,125,socket,136.47
3,125,node,157.72
3,126,socket,140.57
3,126,node,162.72
3,127,socket,218.42
3,127,node,156.70
3,128,socket,185.57
3,128,node,163.07
3,129,socket,161.74
3,129,node,174.98
3,130,socket,169.37
3,130,node,165.28
3,131,socket,179.36
3,131,node,178.01
3,132,socket,178.12
3,132,node,168.19
3,133,socket,196.93
3,133,node,180.56
3,134,socket,163.69
3,134,node,171.82
3,135,socket,185.59
3,135,node,182.66
3,136,socket,201.02
3,136,node,175.24
3,137,socket,200.84
3,137,node,186.68
3,138,socket,218.48
3,138,node,178.56
3,139,socket,166.62
3,139,node,189.66
3,140,socket,202.19
3,140,node,182.42
3,141,socket,169.28
3,141,node,191.29
3,142,socket,187.21
3,142,node,186.61
3,143,socket,235.40
3,143,node,194.54
3,144,socket,215.48
3,144,node,188.41
3,145,socket,202.61
3,145,node,197.12
3,146,socket,209.76
3,146,node,191.35
3,147,socket,113.44
3,147,node,200.05
3,148,socket,203.28
3,148,node,195.59
3,149,socket,181.04
3,149,node,203.00
3,150,socket,186.30
3,150,node,198.63
3,151,socket,231.50
3,151,node,203.89
3,152,socket,226.94
3,152,node,201.60
3,153,socket,251.41
3,153,node,207.32
3,154,socket,174.19
3,154,node,205.37
3,155,socket,133.53
3,155,node,210.67
3,156,socket,247.10
3,156,node,207.48
3,157,socket,181.91
3,157,node,213.26
3,158,socket,202.06
3,158,node,211.89
3,159,socket,207.97
3,159,node,214.61
3,160,socket,179.90
3,160,node,215.00
3,161,socket,227.24
3,161,node,218.21
3,162,socket,225.59
3,162,node,216.75
3,163,socket,266.29
3,163,node,220.57
3,164,socket,220.27
3,164,node,220.47
3,165,socket,210.23
3,165,node,223.20
3,166,socket,219.69
3,166,node,224.20
3,167,socket,263.20
3,167,node,226.83
3,168,socket,247.31
3,168,node,227.62
3,169,socket,188.96
3,169,node,229.40
3,170,socket,265.29
3,170,node,232.00
3,171,socket,251.42
3,171,node,233.42
3,172,socket,316.92
3,172,node,233.54
3,173,socket,326.06
3,173,node,235.31
3,174,socket,244.00
3,174,node,237.88
3,175,socket,181.19
3,175,node,238.33
3,176,socket,226.73
3,176,node,240.72
3,177,socket,230.79
3,177,node,241.36
3,178,socket,217.54
3,178,node,245.08
3,179,socket,146.69
3,179,node,244.21
3,180,socket,276.32
3,180,node,247.97
3,181,socket,231.47
3,181,node,246.84
3,182,socket,234.96
3,182,node,251.69
3,183,socket,189.04
3,183,node,249.63
3,184,socket,216.98
3,184,node,253.71
3,185,socket,124.10
3,185,node,253.06
3,186,socket,249.99
3,186,node,257.41
3,187,socket,237.21
3,187,node,256.18
3,188,socket,265.23
3,188,node,260.92
3,189,socket,279.82
3,189,node,260.22
3,190,socket,107.72
3,190,node,264.11
3,191,socket,259.94
3,191,node,262.44
3,192,socket,237.12
3,192,node,267.23
3,193,socket,232.62
3,193,node,264.96
3,194,socket,229.16
3,194,node,269.35
3,195,socket,267.05
3,195,node,269.49
3,196,socket,156.28
3,196,node,273.04
3,197,socket,127.77
3,197,node,270.87
3,198,socket,232.31
3,198,node,276.97
3,199,socket,273.27
3,199,node,271.57
3,200,socket,243.95
3,200,node,280.34
3,201,socket,288.70
3,201,node,276.63
3,202,socket,268.94
3,202,node,284.99
