Algorithm,MPI_Processes,Allocation,Latency
5,2,socket,0.60
5,2,node,1.80
5,3,socket,0.54
5,3,node,0.98
5,4,socket,1.09
5,4,node,2.04
5,5,socket,1.08
5,5,node,1.67
5,6,socket,1.19
5,6,node,2.11
5,7,socket,0.93
5,7,node,1.79
5,8,socket,1.00
5,8,node,2.44
5,9,socket,1.05
5,9,node,1.99
5,10,socket,1.09
5,10,node,2.33
5,11,socket,0.82
5,11,node,1.95
5,12,socket,1.06
5,12,node,2.33
5,13,socket,1.19
5,13,node,2.12
5,14,socket,1.25
5,14,node,2.26
5,15,socket,0.97
5,15,node,2.06
5,16,socket,1.29
5,16,node,2.70
5,17,socket,1.09
5,17,node,2.53
5,18,socket,1.38
5,18,node,2.53
5,19,socket,1.26
5,19,node,2.40
5,20,socket,1.29
5,20,node,2.46
5,21,socket,1.46
5,21,node,2.33
5,22,socket,1.46
5,22,node,2.50
5,23,socket,1.29
5,23,node,2.27
5,24,socket,1.54
5,24,node,2.50
5,25,socket,1.37
5,25,node,2.53
5,26,socket,1.37
5,26,node,2.69
5,27,socket,1.17
5,27,node,2.51
5,28,socket,1.30
5,28,node,2.84
5,29,socket,1.34
5,29,node,2.55
5,30,socket,1.39
5,30,node,2.84
5,31,socket,1.41
5,31,node,2.78
5,32,socket,1.41
5,32,node,3.49
5,33,socket,1.20
5,33,node,3.27
5,34,socket,1.62
5,34,node,3.26
5,35,socket,1.43
5,35,node,3.27
5,36,socket,1.44
5,36,node,3.36
5,37,socket,1.24
5,37,node,3.24
5,38,socket,1.39
5,38,node,3.36
5,39,socket,1.37
5,39,node,3.28
5,40,socket,1.48
5,40,node,3.25
5,41,socket,1.41
5,41,node,3.17
5,42,socket,1.41
5,42,node,3.30
5,43,socket,1.36
5,43,node,3.12
5,44,socket,1.43
5,44,node,3.19
5,45,socket,1.39
5,45,node,3.11
5,46,socket,1.36
5,46,node,3.27
5,47,socket,1.36
5,47,node,3.24
5,48,socket,1.42
5,48,node,3.31
5,49,socket,1.40
5,49,node,3.25
5,50,socket,1.52
5,50,node,3.31
5,51,socket,1.42
5,51,node,3.29
5,52,socket,1.36
5,52,node,3.29
5,53,socket,1.43
5,53,node,3.25
5,54,socket,1.31
5,54,node,3.33
5,55,socket,1.27
5,55,node,3.31
5,56,socket,1.41
5,56,node,3.52
5,57,socket,1.31
5,57,node,3.33
5,58,socket,1.25
5,58,node,3.51
5,59,socket,1.43
5,59,node,3.27
5,60,socket,1.35
5,60,node,3.73
5,61,socket,1.35
5,61,node,3.59
5,62,socket,1.29
5,62,node,3.92
5,63,socket,1.24
5,63,node,3.71
5,64,socket,1.55
5,64,node,4.96
5,65,socket,1.11
5,65,node,4.02
5,66,socket,1.44
5,66,node,4.52
5,67,socket,1.35
5,67,node,4.04
5,68,socket,1.54
5,68,node,4.92
5,69,socket,1.35
5,69,node,4.05
5,70,socket,1.49
5,70,node,4.90
5,71,socket,1.37
5,71,node,4.03
5,72,socket,1.46
5,72,node,5.32
5,73,socket,1.39
5,73,node,4.01
5,74,socket,1.45
5,74,node,5.13
5,75,socket,1.32
5,75,node,4.02
5,76,socket,1.51
5,76,node,5.34
5,77,socket,1.33
5,77,node,3.93
5,78,socket,1.48
5,78,node,5.22
5,79,socket,1.37
5,79,node,3.96
5,80,socket,1.49
5,80,node,5.69
5,81,socket,1.43
5,81,node,4.14
5,82,socket,1.64
5,82,node,5.64
5,83,socket,1.41
5,83,node,3.99
5,84,socket,1.55
5,84,node,5.96
5,85,socket,1.33
5,85,node,4.04
5,86,socket,1.43
5,86,node,5.99
5,87,socket,1.45
5,87,node,4.24
5,88,socket,1.70
5,88,node,6.27
5,89,socket,1.46
5,89,node,4.29
5,90,socket,1.57
5,90,node,5.64
5,91,socket,1.40
5,91,node,4.33
5,92,socket,1.63
5,92,node,6.03
5,93,socket,1.38
5,93,node,4.37
5,94,socket,1.44
5,94,node,5.74
5,95,socket,1.44
5,95,node,4.39
5,96,socket,1.46
5,96,node,6.14
5,97,socket,1.47
5,97,node,4.45
5,98,socket,1.45
5,98,node,6.45
5,99,socket,1.46
5,99,node,4.35
5,100,socket,1.61
5,100,node,6.69
5,101,socket,1.52
5,101,node,4.55
5,102,socket,1.62
5,102,node,6.52
5,103,socket,1.55
5,103,node,4.75
5,104,socket,1.72
5,104,node,6.87
5,105,socket,1.47
5,105,node,4.72
5,106,socket,1.60
5,106,node,6.02
5,107,socket,1.51
5,107,node,4.67
5,108,socket,1.56
5,108,node,6.40
5,109,socket,1.44
5,109,node,4.63
5,110,socket,1.54
5,110,node,6.38
5,111,socket,1.53
5,111,node,4.84
5,112,socket,1.72
5,112,node,6.96
5,113,socket,1.62
5,113,node,4.81
5,114,socket,1.62
5,114,node,7.10
5,115,socket,1.62
5,115,node,5.11
5,116,socket,1.62
5,116,node,7.18
5,117,socket,1.57
5,117,node,5.01
5,118,socket,1.56
5,118,node,7.11
5,119,socket,1.55
5,119,node,5.13
5,120,socket,1.60
5,120,node,7.34
5,121,socket,1.75
5,121,node,5.39
5,122,socket,1.65
5,122,node,6.67
5,123,socket,1.52
5,123,node,5.43
5,124,socket,11.69
5,124,node,7.12
5,125,socket,16.41
5,125,node,5.72
5,126,socket,1.57
5,126,node,7.04
5,127,socket,1.65
5,127,node,5.91
5,128,socket,1.60
5,128,node,7.63
5,129,socket,1.32
5,129,node,7.12
5,130,socket,1.74
5,130,node,7.38
5,131,socket,1.48
5,131,node,6.84
5,132,socket,1.74
5,132,node,8.02
5,133,socket,23.88
5,133,node,6.56
5,134,socket,7.47
5,134,node,7.82
5,135,socket,13.33
5,135,node,7.01
5,136,socket,32.91
5,136,node,8.69
5,137,socket,1.89
5,137,node,7.01
5,138,socket,24.77
5,138,node,7.53
5,139,socket,18.90
5,139,node,6.96
5,140,socket,14.51
5,140,node,8.11
5,141,socket,31.75
5,141,node,6.93
5,142,socket,10.57
5,142,node,7.44
5,143,socket,12.98
5,143,node,7.15
5,144,socket,4.73
5,144,node,8.81
5,145,socket,18.76
5,145,node,7.09
5,146,socket,40.10
5,146,node,8.76
5,147,socket,27.57
5,147,node,6.95
5,148,socket,36.43
5,148,node,8.54
5,149,socket,16.87
5,149,node,7.05
5,150,socket,24.77
5,150,node,8.95
