Algorithm,MPI_Processes,Allocation,Latency
1,2,socket,0.57
1,2,node,1.73
1,3,socket,0.56
1,3,node,0.93
1,4,socket,1.20
1,4,node,1.00
1,5,socket,0.57
1,5,node,0.79
1,6,socket,1.05
1,6,node,0.76
1,7,socket,0.85
1,7,node,0.62
1,8,socket,1.11
1,8,node,0.62
1,9,socket,0.90
1,9,node,0.41
1,10,socket,1.00
1,10,node,0.48
1,11,socket,1.25
1,11,node,0.50
1,12,socket,1.01
1,12,node,0.55
1,13,socket,1.06
1,13,node,0.64
1,14,socket,1.38
1,14,node,0.64
1,15,socket,1.44
1,15,node,0.79
1,16,socket,1.68
1,16,node,0.81
1,17,socket,1.24
1,17,node,0.78
1,18,socket,1.25
1,18,node,0.78
1,19,socket,1.80
1,19,node,0.81
1,20,socket,2.00
1,20,node,0.80
1,21,socket,1.52
1,21,node,0.89
1,22,socket,1.75
1,22,node,0.80
1,23,socket,1.93
1,23,node,0.78
1,24,socket,2.14
1,24,node,0.89
1,25,socket,2.46
1,25,node,0.95
1,26,socket,2.17
1,26,node,0.89
1,27,socket,2.34
1,27,node,1.01
1,28,socket,2.73
1,28,node,0.87
1,29,socket,2.77
1,29,node,0.85
1,30,socket,2.53
1,30,node,0.83
1,31,socket,2.31
1,31,node,0.82
1,32,socket,2.46
1,32,node,1.09
1,33,socket,3.00
1,33,node,1.07
1,34,socket,3.48
1,34,node,0.84
1,35,socket,2.82
1,35,node,1.22
1,36,socket,2.22
1,36,node,1.21
1,37,socket,2.65
1,37,node,0.96
1,38,socket,3.41
1,38,node,1.36
1,39,socket,3.15
1,39,node,0.95
1,40,socket,3.16
1,40,node,1.17
1,41,socket,3.80
1,41,node,1.26
1,42,socket,3.27
1,42,node,1.08
1,43,socket,3.16
1,43,node,0.94
1,44,socket,3.29
1,44,node,1.42
1,45,socket,4.46
1,45,node,1.29
1,46,socket,3.47
1,46,node,1.12
1,47,socket,4.14
1,47,node,1.43
1,48,socket,4.20
1,48,node,1.27
1,49,socket,4.13
1,49,node,1.11
1,50,socket,4.02
1,50,node,1.53
1,51,socket,4.41
1,51,node,1.66
1,52,socket,3.97
1,52,node,1.80
1,53,socket,3.93
1,53,node,1.57
1,54,socket,4.54
1,54,node,1.63
1,55,socket,4.41
1,55,node,1.56
1,56,socket,4.68
1,56,node,1.62
1,57,socket,4.43
1,57,node,1.57
1,58,socket,3.55
1,58,node,1.73
1,59,socket,4.22
1,59,node,1.10
1,60,socket,4.39
1,60,node,1.11
1,61,socket,4.55
1,61,node,1.41
1,62,socket,3.70
1,62,node,1.48
1,63,socket,4.28
1,63,node,1.42
1,64,socket,4.42
1,64,node,1.78
1,65,socket,4.85
1,65,node,1.19
1,66,socket,4.52
1,66,node,1.41
1,67,socket,4.64
1,67,node,1.11
1,68,socket,4.66
1,68,node,1.35
1,69,socket,5.09
1,69,node,1.06
1,70,socket,5.57
1,70,node,1.67
1,71,socket,5.76
1,71,node,1.03
1,72,socket,5.41
1,72,node,1.80
1,73,socket,5.02
1,73,node,1.08
1,74,socket,5.81
1,74,node,1.89
1,75,socket,5.16
1,75,node,1.09
1,76,socket,5.61
1,76,node,1.81
1,77,socket,4.98
1,77,node,1.07
1,78,socket,4.92
1,78,node,1.80
1,79,socket,5.34
1,79,node,1.03
1,80,socket,5.52
1,80,node,1.91
1,81,socket,5.48
1,81,node,1.05
1,82,socket,5.88
1,82,node,1.84
1,83,socket,5.40
1,83,node,1.02
1,84,socket,6.24
1,84,node,2.01
1,85,socket,5.80
1,85,node,1.02
1,86,socket,6.14
1,86,node,1.83
1,87,socket,5.80
1,87,node,1.09
1,88,socket,6.21
1,88,node,2.15
1,89,socket,5.86
1,89,node,1.09
1,90,socket,6.42
1,90,node,2.05
1,91,socket,6.19
1,91,node,1.03
1,92,socket,6.61
1,92,node,2.15
1,93,socket,6.29
1,93,node,1.02
1,94,socket,6.51
1,94,node,1.69
1,95,socket,6.89
1,95,node,0.91
1,96,socket,4.98
1,96,node,2.09
1,97,socket,7.05
1,97,node,0.96
1,98,socket,5.91
1,98,node,2.06
1,99,socket,7.33
1,99,node,0.94
1,100,socket,7.09
1,100,node,1.89
1,101,socket,7.27
1,101,node,0.91
1,102,socket,6.77
1,102,node,2.09
1,103,socket,7.38
1,103,node,0.96
1,104,socket,7.13
1,104,node,2.29
1,105,socket,7.43
1,105,node,1.10
1,106,socket,8.19
1,106,node,2.10
1,107,socket,7.58
1,107,node,1.26
1,108,socket,7.59
1,108,node,2.20
1,109,socket,7.36
1,109,node,1.37
1,110,socket,6.82
1,110,node,2.17
1,111,socket,7.51
1,111,node,1.33
1,112,socket,8.36
1,112,node,2.21
1,113,socket,8.00
1,113,node,1.60
1,114,socket,7.37
1,114,node,2.20
1,115,socket,7.92
1,115,node,1.57
1,116,socket,8.34
1,116,node,2.11
1,117,socket,8.23
1,117,node,1.70
1,118,socket,8.09
1,118,node,2.14
1,119,socket,8.20
1,119,node,1.72
1,120,socket,8.86
1,120,node,2.24
1,121,socket,8.72
1,121,node,1.94
1,122,socket,9.38
1,122,node,2.39
1,123,socket,9.47
1,123,node,1.88
1,124,socket,9.07
1,124,node,2.21
1,125,socket,9.08
1,125,node,2.00
1,126,socket,9.41
1,126,node,2.35
1,127,socket,8.80
1,127,node,1.84
1,128,socket,9.38
1,128,node,2.37
1,129,socket,10.47
1,129,node,1.36
1,130,socket,10.03
1,130,node,2.10
1,131,socket,11.07
1,131,node,1.33
1,132,socket,8.95
1,132,node,2.08
1,133,socket,9.58
1,133,node,1.42
1,134,socket,8.96
1,134,node,2.42
1,135,socket,9.63
1,135,node,1.33
1,136,socket,8.05
1,136,node,2.47
1,137,socket,9.04
1,137,node,1.39
1,138,socket,8.97
1,138,node,2.44
1,139,socket,8.30
1,139,node,1.42
1,140,socket,8.85
1,140,node,2.53
1,141,socket,9.00
1,141,node,1.28
1,142,socket,7.16
1,142,node,2.58
1,143,socket,7.99
1,143,node,1.26
1,144,socket,7.13
1,144,node,2.48
1,145,socket,7.19
1,145,node,1.14
1,146,socket,6.89
1,146,node,2.41
