Algorithm,MPI_Processes,Allocation,Latency
3,2,socket,0.59
3,2,node,1.75
3,3,socket,0.99
3,3,node,1.55
3,4,socket,2.01
3,4,node,3.81
3,5,socket,2.47
3,5,node,3.64
3,6,socket,3.03
3,6,node,5.90
3,7,socket,3.44
3,7,node,5.72
3,8,socket,3.65
3,8,node,7.67
3,9,socket,4.47
3,9,node,7.66
3,10,socket,4.92
3,10,node,9.67
3,11,socket,5.00
3,11,node,8.93
3,12,socket,5.22
3,12,node,11.54
3,13,socket,5.77
3,13,node,10.70
3,14,socket,6.60
3,14,node,12.62
3,15,socket,6.79
3,15,node,12.07
3,16,socket,7.99
3,16,node,14.76
3,17,socket,8.61
3,17,node,14.12
3,18,socket,9.30
3,18,node,16.39
3,19,socket,9.35
3,19,node,15.97
3,20,socket,10.18
3,20,node,18.45
3,21,socket,10.25
3,21,node,17.93
3,22,socket,10.69
3,22,node,20.37
3,23,socket,10.94
3,23,node,20.05
3,24,socket,11.53
3,24,node,22.53
3,25,socket,12.02
3,25,node,21.84
3,26,socket,12.57
3,26,node,24.13
3,27,socket,12.85
3,27,node,23.61
3,28,socket,12.97
3,28,node,25.92
3,29,socket,13.64
3,29,node,25.29
3,30,socket,14.42
3,30,node,27.41
3,31,socket,14.56
3,31,node,26.92
3,32,socket,15.80
3,32,node,29.48
3,33,socket,15.62
3,33,node,28.85
3,34,socket,16.83
3,34,node,30.87
3,35,socket,16.99
3,35,node,30.53
3,36,socket,17.43
3,36,node,33.01
3,37,socket,17.36
3,37,node,32.44
3,38,socket,18.54
3,38,node,34.74
3,39,socket,18.61
3,39,node,34.79
3,40,socket,18.98
3,40,node,36.84
3,41,socket,19.44
3,41,node,36.34
3,42,socket,20.06
3,42,node,38.36
3,43,socket,19.96
3,43,node,37.97
3,44,socket,20.69
3,44,node,40.96
3,45,socket,20.89
3,45,node,39.94
3,46,socket,21.50
3,46,node,41.22
3,47,socket,22.07
3,47,node,41.16
3,48,socket,22.73
3,48,node,43.33
3,49,socket,22.63
3,49,node,42.65
3,50,socket,23.38
3,50,node,44.18
3,51,socket,23.80
3,51,node,44.16
3,52,socket,23.85
3,52,node,46.20
3,53,socket,24.45
3,53,node,46.06
3,54,socket,25.17
3,54,node,48.91
3,55,socket,25.50
3,55,node,48.45
3,56,socket,26.95
3,56,node,50.68
3,57,socket,27.09
3,57,node,50.21
3,58,socket,26.87
3,58,node,52.62
3,59,socket,27.24
3,59,node,51.18
3,60,socket,27.67
3,60,node,61.20
3,61,socket,28.35
3,61,node,60.96
3,62,socket,28.89
3,62,node,64.04
3,63,socket,28.85
3,63,node,63.45
3,64,socket,29.74
3,64,node,66.43
3,65,socket,21.61
3,65,node,65.71
3,66,socket,29.32
3,66,node,68.23
3,67,socket,29.17
3,67,node,67.76
3,68,socket,31.11
3,68,node,71.40
3,69,socket,30.73
3,69,node,72.83
3,70,socket,31.44
3,70,node,74.41
3,71,socket,30.86
3,71,node,76.16
3,72,socket,32.53
3,72,node,78.92
3,73,socket,32.03
3,73,node,80.48
3,74,socket,33.45
3,74,node,82.12
3,75,socket,33.18
3,75,node,84.24
3,76,socket,34.72
3,76,node,85.36
3,77,socket,34.77
3,77,node,87.07
3,78,socket,36.21
3,78,node,88.10
3,79,socket,35.29
3,79,node,90.00
3,80,socket,37.17
3,80,node,91.47
3,81,socket,36.53
3,81,node,93.31
3,82,socket,37.72
3,82,node,93.81
3,83,socket,37.22
3,83,node,96.39
3,84,socket,38.42
3,84,node,97.09
3,85,socket,38.52
3,85,node,100.23
3,86,socket,39.42
3,86,node,99.96
3,87,socket,39.76
3,87,node,103.41
3,88,socket,40.70
3,88,node,104.59
3,89,socket,40.65
3,89,node,107.51
3,90,socket,42.09
3,90,node,106.94
3,91,socket,41.38
3,91,node,110.55
3,92,socket,42.76
3,92,node,109.50
3,93,socket,42.76
3,93,node,113.68
3,94,socket,43.49
3,94,node,112.65
3,95,socket,44.08
3,95,node,116.63
3,96,socket,45.06
3,96,node,115.37
3,97,socket,45.60
3,97,node,119.24
3,98,socket,45.94
3,98,node,118.20
3,99,socket,46.37
3,99,node,122.27
3,100,socket,47.72
3,100,node,120.90
3,101,socket,47.36
3,101,node,126.02
3,102,socket,49.11
3,102,node,124.22
3,103,socket,48.67
3,103,node,129.20
3,104,socket,50.02
3,104,node,128.37
3,105,socket,49.71
3,105,node,132.68
3,106,socket,50.76
3,106,node,130.89
3,107,socket,50.54
3,107,node,136.55
3,108,socket,52.09
3,108,node,134.28
3,109,socket,51.85
3,109,node,138.44
3,110,socket,52.96
3,110,node,136.33
3,111,socket,53.08
3,111,node,140.87
3,112,socket,54.01
3,112,node,139.41
3,113,socket,55.47
3,113,node,144.92
3,114,socket,53.86
3,114,node,142.61
3,115,socket,55.34
3,115,node,147.45
3,116,socket,55.40
3,116,node,145.21
3,117,socket,56.39
3,117,node,149.92
3,118,socket,57.48
3,118,node,149.17
3,119,socket,57.73
3,119,node,153.55
3,120,socket,60.83
3,120,node,152.21
3,121,socket,122.84
3,121,node,157.11
3,122,socket,69.06
3,122,node,155.87
3,123,socket,121.23
3,123,node,160.01
3,124,socket,143.28
3,124,node,158.67
3,125,socket,151.49
3,125,node,163.63
3,126,socket,219.64
3,126,node,161.63
3,127,socket,201.57
3,127,node,166.29
3,128,socket,167.63
3,128,node,164.77
3,129,socket,133.88
3,129,node,169.66
3,130,socket,170.36
3,130,node,166.00
3,131,socket,163.96
3,131,node,169.25
3,132,socket,183.76
3,132,node,168.33
3,133,socket,133.39
3,133,node,171.59
3,134,socket,148.33
3,134,node,171.39
3,135,socket,188.13
