Algorithm,MPI_Processes,Data_Size,Allocation,Latency,Latency_default
2,2,8,core,0.000000301000000,0.000000351000000
2,2,8,node,0.000003797000000,0.000003817000000
2,3,8,core,0.000000931000000,0.000000802000000
2,3,8,node,0.000005500000000,0.000004799000000
2,4,8,core,0.000000801000000,0.000000571000000
2,4,8,node,0.000008336000000,0.000005100000000
2,5,8,core,0.000001693000000,0.000001132000000
2,5,8,node,0.000008977000000,0.000005160000000
2,6,8,core,0.000002024000000,0.000001223000000
2,6,8,node,0.000012653000000,0.000006191000000
2,7,8,core,0.000002505000000,0.000001483000000
2,7,8,node,0.000013425000000,0.000006392000000
2,8,8,core,0.000002975000000,0.000002164000000
2,8,8,node,0.000016160000000,0.000006382000000
2,9,8,core,0.000004518000000,0.000003576000000
2,9,8,node,0.000018685000000,0.000008736000000
2,10,8,core,0.000005200000000,0.000003407000000
2,10,8,node,0.000022031000000,0.000010360000000
2,11,8,core,0.000005610000000,0.000003757000000
2,11,8,node,0.000022191000000,0.000010009000000
2,12,8,core,0.000006272000000,0.000004007000000
2,12,8,node,0.000025417000000,0.000010830000000
2,13,8,core,0.000006973000000,0.000004168000000
2,13,8,node,0.000025598000000,0.000011021000000
2,14,8,core,0.000007064000000,0.000003957000000
2,14,8,node,0.000028504000000,0.000011462000000
2,15,8,core,0.000007985000000,0.000004288000000
2,15,8,node,0.000028984000000,0.000011722000000
2,16,8,core,0.000006933000000,0.000003216000000
2,16,8,node,0.000030097000000,0.000010549000000
2,17,8,core,0.000008717000000,0.000004849000000
2,17,8,node,0.000031629000000,0.000011823000000
2,18,8,core,0.000008876000000,0.000005169000000
2,18,8,node,0.000035196000000,0.000014066000000
2,19,8,core,0.000009447000000,0.000005279000000
2,19,8,node,0.000035146000000,0.000013936000000
2,20,8,core,0.000009768000000,0.000004839000000
2,20,8,node,0.000038613000000,0.000014127000000
2,21,8,core,0.000010910000000,0.000005310000000
2,21,8,node,0.000038953000000,0.000014136000000
2,22,8,core,0.000011261000000,0.000005651000000
2,22,8,node,0.000042600000000,0.000015719000000
2,23,8,core,0.000011873000000,0.000005961000000
2,23,8,node,0.000042680000000,0.000014858000000
2,24,8,core,0.000012043000000,0.000005831000000
2,24,8,node,0.000045786000000,0.000015819000000
2,25,8,core,0.000012493000000,0.000005871000000
2,25,8,node,0.000046106000000,0.000016150000000
2,26,8,core,0.000013375000000,0.000006242000000
2,26,8,node,0.000049393000000,0.000018144000000
2,27,8,core,0.000013556000000,0.000006082000000
2,27,8,node,0.000049703000000,0.000018023000000
2,28,8,core,0.000014236000000,0.000006382000000
2,28,8,node,0.000052778000000,0.000018896000000
2,29,8,core,0.000014848000000,0.000006632000000
2,29,8,node,0.000052969000000,0.000018484000000
2,30,8,core,0.000015689000000,0.000006823000000
2,30,8,node,0.000055995000000,0.000018304000000
2,31,8,core,0.000016080000000,0.000006733000000
2,31,8,node,0.000056546000000,0.000019146000000
2,32,8,core,0.000015630000000,0.000006001000000
2,32,8,node,0.000059231000000,0.000018735000000
2,33,8,core,0.000017803000000,0.000007995000000
2,33,8,node,0.000060033000000,0.000019586000000
2,34,8,core,0.000017092000000,0.000007855000000
2,34,8,node,0.000063559000000,0.000021500000000
2,35,8,core,0.000018595000000,0.000008165000000
2,35,8,node,0.000063609000000,0.000021590000000
2,36,8,core,0.000018985000000,0.000007755000000
2,36,8,node,0.000066806000000,0.000022322000000
2,37,8,core,0.000018845000000,0.000007905000000
2,37,8,node,0.000067446000000,0.000022102000000
2,38,8,core,0.000018755000000,0.000008506000000
2,38,8,node,0.000071113000000,0.000022232000000
2,39,8,core,0.000020498000000,0.000008586000000
2,39,8,node,0.000071614000000,0.000022382000000
2,40,8,core,0.000021310000000,0.000008867000000
2,40,8,node,0.000074820000000,0.000023514000000
2,41,8,core,0.000021791000000,0.000009087000000
2,41,8,node,0.000074770000000,0.000023484000000
2,42,8,core,0.000021611000000,0.000008787000000
2,42,8,node,0.000078136000000,0.000025167000000
2,43,8,core,0.000021500000000,0.000008966000000
2,43,8,node,0.000078787000000,0.000024896000000
2,44,8,core,0.000022743000000,0.000009237000000
2,44,8,node,0.000081702000000,0.000025056000000
2,45,8,core,0.000023363000000,0.000009147000000
2,45,8,node,0.000082054000000,0.000025037000000
2,46,8,core,0.000024546000000,0.000009788000000
2,46,8,node,0.000084708000000,0.000026089000000
2,47,8,core,0.000024847000000,0.000009628000000
2,47,8,node,0.000085199000000,0.000026049000000
2,48,8,core,0.000025577000000,0.000009908000000
2,48,8,node,0.000088055000000,0.000026159000000
2,49,8,core,0.000025828000000,0.000010259000000
2,49,8,node,0.000088305000000,0.000026429000000
2,50,8,core,0.000026760000000,0.000010089000000
2,50,8,node,0.000091911000000,0.000028733000000
2,51,8,core,0.000027160000000,0.000010279000000
2,51,8,node,0.000091891000000,0.000028523000000
2,52,8,core,0.000027421000000,0.000010159000000
2,52,8,node,0.000095579000000,0.000029535000000
2,53,8,core,0.000027792000000,0.000010279000000
2,53,8,node,0.000095659000000,0.000029385000000
2,54,8,core,0.000028584000000,0.000010710000000
2,54,8,node,0.000099466000000,0.000029495000000
2,55,8,core,0.000029155000000,0.000010840000000
2,55,8,node,0.000099576000000,0.000029585000000
2,56,8,core,0.000030367000000,0.000011040000000
2,56,8,node,0.000102992000000,0.000030356000000
2,57,8,core,0.000030387000000,0.000011101000000
2,57,8,node,0.000103643000000,0.000030397000000
2,58,8,core,0.000030967000000,0.000011331000000
2,58,8,node,0.000106429000000,0.000031870000000
2,59,8,core,0.000030678000000,0.000011351000000
2,59,8,node,0.000106579000000,0.000031889000000
2,60,8,core,0.000030918000000,0.000011481000000
2,60,8,node,0.000117189000000,0.000035116000000
2,61,8,core,0.000032240000000,0.000011471000000
2,61,8,node,0.000118331000000,0.000035005000000
2,62,8,core,0.000032401000000,0.000011431000000
2,62,8,node,0.000121557000000,0.000035837000000
2,63,8,core,0.000035517000000,0.000012614000000
2,63,8,node,0.000122108000000,0.000035486000000
2,64,8,core,0.000031488000000,0.000010820000000
2,64,8,node,0.000123320000000,0.000033933000000
2,65,8,core,0.000033723000000,0.000012162000000
2,65,8,node,0.000132929000000,0.000043562000000
2,66,8,core,0.000033963000000,0.000012003000000
2,66,8,node,0.000131105000000,0.000038552000000
2,67,8,core,0.000035697000000,0.000012594000000
2,67,8,node,0.000139752000000,0.000047018000000
2,68,8,core,0.000036980000000,0.000012613000000
2,68,8,node,0.000138369000000,0.000040776000000
2,69,8,core,0.000037751000000,0.000013445000000
2,69,8,node,0.000145272000000,0.000050574000000
2,70,8,core,0.000038722000000,0.000013756000000
2,70,8,node,0.000145602000000,0.000042219000000
2,71,8,core,0.000038592000000,0.000014016000000
2,71,8,node,0.000151107000000,0.000052239000000
2,72,8,core,0.000038774000000,0.000013726000000
2,72,8,node,0.000151387000000,0.000043943000000
2,73,8,core,0.000040136000000,0.000015088000000
2,73,8,node,0.000157709000000,0.000052469000000
2,74,8,core,0.000039865000000,0.000015319000000
2,74,8,node,0.000158090000000,0.000046889000000
2,75,8,core,0.000040426000000,0.000014898000000
2,75,8,node,0.000163496000000,0.000053100000000
2,76,8,core,0.000040766000000,0.000015188000000
2,76,8,node,0.000164207000000,0.000047850000000
2,77,8,core,0.000043131000000,0.000015680000000
2,77,8,node,0.000169848000000,0.000055294000000
2,78,8,core,0.000044043000000,0.000016200000000
2,78,8,node,0.000170369000000,0.000048671000000
2,79,8,core,0.000043992000000,0.000015418000000
2,79,8,node,0.000171421000000,0.000057127000000
2,80,8,core,0.000045906000000,0.000015549000000
2,80,8,node,0.000175719000000,0.000049152000000
2,81,8,core,0.000044042000000,0.000016120000000
2,81,8,node,0.000181860000000,0.000061065000000
2,82,8,core,0.000046076000000,0.000016511000000
2,82,8,node,0.000180749000000,0.000053229000000
2,83,8,core,0.000045024000000,0.000015909000000
2,83,8,node,0.000186620000000,0.000062437000000
2,84,8,core,0.000045214000000,0.000015889000000
2,84,8,node,0.000188042000000,0.000054252000000
2,85,8,core,0.000047328000000,0.000016321000000
2,85,8,node,0.000193312000000,0.000065182000000
2,86,8,core,0.000048220000000,0.000016922000000
2,86,8,node,0.000193633000000,0.000055544000000
2,87,8,core,0.000046217000000,0.000016390000000
2,87,8,node,0.000198902000000,0.000065423000000
2,88,8,core,0.000048261000000,0.000016712000000
2,88,8,node,0.000199333000000,0.000057047000000
2,89,8,core,0.000050645000000,0.000017573000000
2,89,8,node,0.000206347000000,0.000070311000000
2,90,8,core,0.000051917000000,0.000017222000000
2,90,8,node,0.000206256000000,0.000059031000000
2,91,8,core,0.000051667000000,0.000017433000000
2,91,8,node,0.000210634000000,0.000069360000000
2,92,8,core,0.000053349000000,0.000018214000000
2,92,8,node,0.000212508000000,0.000060623000000
2,93,8,core,0.000053199000000,0.000018154000000
2,93,8,node,0.000217757000000,0.000072696000000
2,94,8,core,0.000051717000000,0.000017763000000
2,94,8,node,0.000219761000000,0.000060803000000
2,95,8,core,0.000053290000000,0.000017903000000
2,95,8,node,0.000218309000000,0.000071774000000
2,96,8,core,0.000059311000000,0.000020238000000
2,96,8,node,0.000224600000000,0.000061565000000
2,97,8,core,0.000052418000000,0.000018094000000
2,97,8,node,0.000225782000000,0.000073749000000
2,98,8,core,0.000055634000000,0.000019587000000
2,98,8,node,0.000229730000000,0.000064130000000
2,99,8,core,0.000058790000000,0.000019577000000
2,99,8,node,0.000229980000000,0.000074429000000
2,100,8,core,0.000056225000000,0.000018835000000
2,100,8,node,0.000236021000000,0.000066104000000
2,101,8,core,0.000056236000000,0.000020498000000
2,101,8,node,0.000235811000000,0.000079919000000
2,102,8,core,0.000058439000000,0.000019447000000
2,102,8,node,0.000241682000000,0.000067597000000
2,103,8,core,0.000056886000000,0.000018665000000
2,103,8,node,0.000241442000000,0.000075712000000
2,104,8,core,0.000061986000000,0.000020088000000
2,104,8,node,0.000248095000000,0.000069149000000
2,105,8,core,0.000061465000000,0.000020838000000
2,105,8,node,0.000247032000000,0.000080341000000
2,106,8,core,0.000059471000000,0.000019407000000
2,106,8,node,0.000254145000000,0.000071073000000
2,107,8,core,0.000061125000000,0.000020859000000
2,107,8,node,0.000252483000000,0.000079899000000
2,108,8,core,0.000061145000000,0.000021441000000
2,108,8,node,0.000260307000000,0.000071735000000
2,109,8,core,0.000063489000000,0.000022612000000
2,109,8,node,0.000257963000000,0.000079318000000
2,110,8,core,0.000064400000000,0.000021610000000
2,110,8,node,0.000266990000000,0.000073387000000
2,111,8,core,0.000061726000000,0.000020579000000
2,111,8,node,0.000259756000000,0.000080090000000
2,112,8,core,0.000063990000000,0.000021199000000
2,112,8,node,0.000274263000000,0.000073708000000
2,113,8,core,0.000064161000000,0.000021460000000
2,113,8,node,0.000269454000000,0.000085099000000
2,114,8,core,0.000063309000000,0.000022412000000
2,114,8,node,0.000279854000000,0.000076192000000
2,115,8,core,0.000063649000000,0.000022251000000
2,115,8,node,0.000274644000000,0.000086402000000
2,116,8,core,0.000065192000000,0.000022272000000
2,116,8,node,0.000284993000000,0.000077565000000
2,117,8,core,0.000064510000000,0.000022361000000
2,117,8,node,0.000281657000000,0.000087203000000
2,118,8,core,0.000068678000000,0.000023314000000
2,118,8,node,0.000292588000000,0.000079369000000
2,119,8,core,0.000065573000000,0.000022643000000
2,119,8,node,0.000287708000000,0.000089107000000
2,120,8,core,0.000066414000000,0.000022582000000
2,120,8,node,0.000299049000000,0.000080581000000
2,121,8,core,0.000068287000000,0.000023324000000
2,121,8,node,0.000296114000000,0.000094196000000
2,122,8,core,0.000070422000000,0.000023243000000
2,122,8,node,0.000305352000000,0.000083176000000
2,123,8,core,0.000070632000000,0.000023473000000
2,123,8,node,0.000300392000000,0.000094757000000
2,124,8,core,0.000070442000000,0.000024245000000
2,124,8,node,0.000311793000000,0.000084768000000
2,125,8,core,0.000069851000000,0.000023524000000
2,125,8,node,0.000308157000000,0.000092593000000
2,126,8,core,0.000072816000000,0.000024115000000
2,126,8,node,0.000318156000000,0.000085860000000
2,127,8,core,0.000073047000000,0.000023353000000
2,127,8,node,0.000307055000000,0.000094336000000
2,128,8,core,0.000075301000000,0.000024315000000
2,128,8,node,0.000321652000000,0.000084939000000
2,129,8,core,0.000081453000000,0.000025718000000
2,129,8,node,0.000328184000000,0.000101159000000
2,130,8,core,0.000081713000000,0.000026390000000
2,130,8,node,0.000326902000000,0.000089067000000
2,131,8,core,0.000081663000000,0.000025818000000
2,131,8,node,0.000333014000000,0.000101981000000
2,132,8,core,0.000082725000000,0.000025678000000
2,132,8,node,0.000332863000000,0.000090970000000
2,133,8,core,0.000084438000000,0.000026370000000
2,133,8,node,0.000336289000000,0.000107542000000
2,134,8,core,0.000084248000000,0.000025988000000
2,134,8,node,0.000338293000000,0.000091642000000
2,135,8,core,0.000086031000000,0.000026570000000
2,135,8,node,0.000341399000000,0.000108253000000
2,136,8,core,0.000087244000000,0.000026300000000
2,136,8,node,0.000342601000000,0.000092724000000
2,137,8,core,0.000088065000000,0.000026590000000
2,137,8,node,0.000348572000000,0.000109645000000
2,138,8,core,0.000089197000000,0.000026760000000
2,138,8,node,0.000348562000000,0.000095579000000
2,139,8,core,0.000089398000000,0.000026580000000
2,139,8,node,0.000353301000000,0.000109364000000
2,140,8,core,0.000090199000000,0.000026891000000
2,140,8,node,0.000355656000000,0.000096690000000
2,141,8,core,0.000091451000000,0.000027321000000
2,141,8,node,0.000359322000000,0.000111248000000
2,142,8,core,0.000092914000000,0.000028493000000
2,142,8,node,0.000361767000000,0.000097442000000
2,143,8,core,0.000094356000000,0.000029395000000
2,143,8,node,0.000359893000000,0.000113453000000
2,144,8,core,0.000092173000000,0.000029485000000
2,144,8,node,0.000365094000000,0.000097102000000
2,145,8,core,0.000093785000000,0.000029585000000
2,145,8,node,0.000369822000000,0.000116157000000
2,146,8,core,0.000093485000000,0.000031319000000
