Algorithm,MPI_Processes,Data_Size,Latency,Latency_default
1,32,2,0.000014808000000,0.000014748000000
2,32,2,0.000058159000000,0.000018535000000
5,32,2,0.000011161000000,0.000009337000000
1,64,2,0.000027131000000,0.000031910000000
2,64,2,0.000129372000000,0.000034735000000
5,64,2,0.000018605000000,0.000015098000000
1,128,2,0.000051346000000,0.000062166000000
2,128,2,0.000346279000000,0.000090038000000
5,128,2,0.000030988000000,0.000022151000000
1,256,2,0.000112361000000,0.000125505000000
2,256,2,0.000752730000000,0.000201087000001
5,256,2,0.000049994000000,0.000035657000000
1,32,4,0.000014958000000,0.000014838000000
2,32,4,0.000058339000000,0.000018535000000
5,32,4,0.000011161000000,0.000009177000000
1,64,4,0.000026950000000,0.000031630000000
2,64,4,0.000129653000000,0.000034975000000
5,64,4,0.000019176000000,0.000015219000000
1,128,4,0.000051567000000,0.000061976000000
2,128,4,0.000344015000000,0.000089918000000
5,128,4,0.000031158000000,0.000022111000000
1,256,4,0.000111629000000,0.000124634000000
2,256,4,0.000751108000000,0.000201037000000
5,256,4,0.000050134000000,0.000035707000000
1,32,8,0.000015218000000,0.000014958000000
2,32,8,0.000061545000000,0.000019526000000
5,32,8,0.000011962000000,0.000010320000000
1,64,8,0.000028754000000,0.000033493000000
2,64,8,0.000130865000000,0.000035206000000
5,64,8,0.000018535000000,0.000016231000000
1,128,8,0.000054983000000,0.000067637000000
2,128,8,0.000347492000000,0.000090730000000
5,128,8,0.000031239000000,0.000022523000000
1,256,8,0.000116549000000,0.000128861000000
2,256,8,0.000756639000000,0.000202570000000
5,256,8,0.000050324000000,0.000035947000000
1,32,16,0.000015519000000,0.000015188000000
2,32,16,0.000065102000000,0.000020349000000
5,32,16,0.000012454000000,0.000010279000000
1,64,16,0.000028724000000,0.000033873000000
2,64,16,0.000137908000000,0.000036899000000
5,64,16,0.000019457000000,0.000016361000000
1,128,16,0.000054642000000,0.000067417000000
2,128,16,0.000363482000000,0.000094647000000
5,128,16,0.000032050000000,0.000022572000000
1,256,16,0.000115937000000,0.000129093000000
2,256,16,0.000785884000000,0.000209954000000
5,256,16,0.000053461000000,0.000035267000000
1,32,32,0.000017633000000,0.000017513000000
2,32,32,0.000066505000000,0.000020748000000
5,32,32,0.000012514000000,0.000011622000000
1,64,32,0.000032611000000,0.000039574000000
2,64,32,0.000139631000000,0.000037240000000
5,64,32,0.000019777000000,0.000017082000000
1,128,32,0.000065283000000,0.000078408000000
2,128,32,0.000368511000000,0.000095559000000
5,128,32,0.000033132000000,0.000024095000000
1,256,32,0.000137348000000,0.000161903000000
2,256,32,0.000794670000000,0.000212068000000
5,256,32,0.000054061000000,0.000035877000000
1,32,64,0.000019576000000,0.000019616000000
2,32,64,0.000081613000000,0.000025298000000
5,32,64,0.000014598000000,0.000012323000000
1,64,64,0.000036399000000,0.000042530000000
2,64,64,0.000170099000000,0.000045075000000
5,64,64,0.000021791000000,0.000017502000000
1,128,64,0.000071434000000,0.000084479000000
2,128,64,0.000430698000000,0.000110748000000
5,128,64,0.000034435000000,0.000024506000000
1,256,64,0.000147386000000,0.000174247000000
2,256,64,0.000959059000000,0.000262091000001
5,256,64,0.000054883000000,0.000036057000000
1,32,128,0.000019326000000,0.000019296000000
2,32,128,0.000084929000000,0.000026499000000
5,32,128,0.000014978000000,0.000012824000000
1,64,128,0.000036028000000,0.000042901000000
2,64,128,0.000179376000000,0.000047510000000
5,64,128,0.000021731000000,0.000017754000000
1,128,128,0.000069500000000,0.000086311000000
2,128,128,0.000448591000000,0.000115697000000
5,128,128,0.000035777000000,0.000024857000000
1,256,128,0.000148308000000,0.000175108000000
2,256,128,0.000985388000000,0.000268864000000
5,256,128,0.000056125000000,0.000036578000000
1,32,256,0.000021681000000,0.000021370000000
2,32,256,0.000092303000000,0.000028032000000
5,32,256,0.000015940000000,0.000013645000000
1,64,256,0.000037650000000,0.000044344000000
2,64,256,0.000191369000000,0.000048160000000
5,64,256,0.000022171000000,0.000018705000000
1,128,256,0.000072897000000,0.000087835000000
2,128,256,0.000471123000000,0.000114504000000
5,128,256,0.000035978000000,0.000025558000000
1,256,256,0.000154880000000,0.000186059000000
2,256,256,0.001042675000000,0.000275938000001
5,256,256,0.000060623000000,0.000036358000000
1,32,512,0.000027632000000,0.000026680000000
2,32,512,0.000110948000000,0.000030757000000
5,32,512,0.000018635000000,0.000016671000000
1,64,512,0.000053050000000,0.000057909000000
2,64,512,0.000231203000000,0.000055645000000
5,64,512,0.000026359000000,0.000021209000000
1,128,512,0.000103614000000,0.000118502000000
2,128,512,0.000554149000000,0.000127118000000
5,128,512,0.000041618000000,0.000028764000000
1,256,512,0.000209082000000,0.000243968000000
2,256,512,0.001173340000000,0.013099922999999
5,256,512,0.000067687000000,0.000040226000000
1,32,1024,0.000033293000000,0.000031690000000
2,32,1024,0.000135123000000,0.000034876000000
5,32,1024,0.000021300000000,0.000020018000000
1,64,1024,0.000066715000000,0.000071354000000
2,64,1024,0.000276619000000,0.000064892000000
5,64,1024,0.000030999000000,0.000025077000000
1,128,1024,0.000128972000000,0.000153758000000
2,128,1024,0.000647353000000,0.000146064000000
5,128,1024,0.000052348000000,0.000037491000000
1,256,1024,0.000265137000000,0.000364203000000
