Algorithm,MPI_Processes,Data_Size,Latency,Latency_default
1,32,2,0.000010419000000,0.000007294000000
2,32,2,0.000013816000000,0.000005450000000
5,32,2,0.000004729000000,0.000004539000000
1,64,2,0.000022542000000,0.000015239000000
2,64,2,0.000026440000000,0.000009488000000
5,64,2,0.000006042000000,0.000005851000000
1,128,2,0.000061705000000,0.000038933000000
2,128,2,0.000054482000000,0.000019125000000
5,128,2,0.000009929000000,0.000009187000000
1,32,4,0.000010249000000,0.000007394000000
2,32,4,0.000014897000000,0.000005000000000
5,32,4,0.000004879000000,0.000004629000000
1,64,4,0.000022793000000,0.000015599000000
2,64,4,0.000024366000000,0.000008556000000
5,64,4,0.000005891000000,0.000005711000000
1,128,4,0.000059842000000,0.000040326000000
2,128,4,0.000062477000000,0.000019967000000
5,128,4,0.000009628000000,0.000009238000000
1,32,8,0.000011051000000,0.000008105000000
2,32,8,0.000016470000000,0.000006142000000
5,32,8,0.000005641000000,0.000004980000000
1,64,8,0.000025006000000,0.000016661000000
2,64,8,0.000029987000000,0.000010179000000
5,64,8,0.000006772000000,0.000006412000000
1,128,8,0.000071594000000,0.000044543000000
2,128,8,0.000078597000000,0.000024806000000
5,128,8,0.000011462000000,0.000009979000000
1,32,16,0.000010760000000,0.000007774000000
2,32,16,0.000016371000000,0.000005962000000
5,32,16,0.000005320000000,0.000004940000000
1,64,16,0.000024576000000,0.000016461000000
2,64,16,0.000031148000000,0.000010881000000
5,64,16,0.000006963000000,0.000006482000000
1,128,16,0.000068127000000,0.000044463000000
2,128,16,0.000076243000000,0.000024206000000
5,128,16,0.000011151000000,0.000009999000000
1,32,32,0.000015378000000,0.000015198000000
2,32,32,0.000015960000000,0.000006482000000
5,32,32,0.000006251000000,0.000006412000000
1,64,32,0.000033312000000,0.000033302000000
2,64,32,0.000031179000000,0.000011151000000
5,64,32,0.000008145000000,0.000008245000000
1,128,32,0.000091301000000,0.000091261000000
2,128,32,0.000067948000000,0.000022161000000
5,128,32,0.000012894000000,0.000013395000000
1,32,64,0.000015850000000,0.000015319000000
2,32,64,0.000017223000000,0.000006732000000
5,32,64,0.000006282000000,0.000006392000000
1,64,64,0.000033944000000,0.000033964000000
2,64,64,0.000032912000000,0.000011341000000
5,64,64,0.000008295000000,0.000008366000000
1,128,64,0.000093616000000,0.000092904000000
2,128,64,0.000068498000000,0.000022322000000
5,128,64,0.000012834000000,0.000012113000000
1,32,128,0.000016020000000,0.000015800000000
2,32,128,0.000018354000000,0.000007264000000
5,32,128,0.000006672000000,0.000006823000000
1,64,128,0.000034354000000,0.000034194000000
2,64,128,0.000033914000000,0.000011942000000
5,64,128,0.000008927000000,0.000009097000000
1,128,128,0.000092163000000,0.000091000000000
2,128,128,0.000075602000000,0.000023474000000
5,128,128,0.000013566000000,0.000013115000000
1,32,256,0.000018154000000,0.000017873000000
2,32,256,0.000018695000000,0.000007363000000
5,32,256,0.000007283000000,0.000007374000000
1,64,256,0.000038823000000,0.000038532000000
2,64,256,0.000036658000000,0.000012483000000
5,64,256,0.000009999000000,0.000009898000000
1,128,256,0.000096912000000,0.000097002000000
2,128,256,0.000080892000000,0.000025087000000
