Algorithm,MPI_Processes,Data_Size,Allocation,Latency
3,2,5000,core,0.000001303000000
3,2,5000,node,0.000005866000000
3,3,5000,core,0.000003977000000
3,3,5000,node,0.000014704000000
3,4,5000,core,0.000001954000000
3,4,5000,node,0.000008042000000
3,5,5000,core,0.000013725000000
3,5,5000,node,0.000043652000000
3,6,5000,core,0.000007925000000
3,6,5000,node,0.000016500000000
3,7,5000,core,0.000013987000000
3,7,5000,node,0.000015038000000
3,8,5000,core,0.000013485000000
3,8,5000,node,0.000047824000000
3,9,5000,core,0.000020017000000
3,9,5000,node,0.000039960000000
3,10,5000,core,0.000025758000000
3,10,5000,node,0.000032589000000
3,11,5000,core,0.000023383000000
3,11,5000,node,0.000033831000000
3,12,5000,core,0.000043843000000
3,12,5000,node,0.000042380000000
3,13,5000,core,0.000029336000000
3,13,5000,node,0.000050454000000
3,14,5000,core,0.000013285000000
3,14,5000,node,0.000025839000000
3,15,5000,core,0.000020328000000
3,15,5000,node,0.000027571000000
3,16,5000,core,0.000075222000000
3,16,5000,node,0.000031017000000
3,17,5000,core,0.000022001000000
3,17,5000,node,0.000037922000000
3,18,5000,core,0.000040697000000
3,18,5000,node,0.000056327000000
3,19,5000,core,0.000036268000000
3,19,5000,node,0.000045739000000
3,20,5000,core,0.000067276000000
3,20,5000,node,0.000047169000000
3,21,5000,core,0.000047078000000
3,21,5000,node,0.000040497000000
3,22,5000,core,0.000044914000000
3,22,5000,node,0.000070462000000
3,23,5000,core,0.000098535000000
3,23,5000,node,0.000057348000000
3,24,5000,core,0.000051376000000
3,24,5000,node,0.000065049000000
3,25,5000,core,0.000046127000000
3,25,5000,node,0.000082575000000
3,26,5000,core,0.000031349000000
3,26,5000,node,0.000056116000000
3,27,5000,core,0.000040237000000
3,27,5000,node,0.000074981000000
3,28,5000,core,0.000043652000000
3,28,5000,node,0.000071893000000
3,29,5000,core,0.000037942000000
3,29,5000,node,0.000052229000000
3,30,5000,core,0.000039133000000
3,30,5000,node,0.000025338000000
3,31,5000,core,0.000024637000000
3,31,5000,node,0.000140608000000
3,32,5000,core,0.000143710000000
3,32,5000,node,0.000118442000000
3,33,5000,core,0.000150873000000
3,33,5000,node,0.000090399000000
3,34,5000,core,0.000052910000000
3,34,5000,node,0.000067396000000
3,35,5000,core,0.000125575000000
3,35,5000,node,0.000099667000000
3,36,5000,core,0.000125515000000
3,36,5000,node,0.000070973000000
3,37,5000,core,0.000142548000000
3,37,5000,node,0.000069465000000
3,38,5000,core,0.000099848000000
3,38,5000,node,0.000084263000000
3,39,5000,core,0.000183765000000
3,39,5000,node,0.000069606000000
3,40,5000,core,0.000183535000000
3,40,5000,node,0.000059993000000
3,41,5000,core,0.000167715000000
3,41,5000,node,0.000111746000000
3,42,5000,core,0.000066805000000
3,42,5000,node,0.000075462000000
3,43,5000,core,0.000140564000000
3,43,5000,node,0.000058148000000
3,44,5000,core,0.000160872000000
3,44,5000,node,0.000070832000000
3,45,5000,core,0.000101641000000
3,45,5000,node,0.000130215000000
3,46,5000,core,0.000147056000000
3,46,5000,node,0.000092156000000
3,47,5000,core,0.000093545000000
3,47,5000,node,0.000079192000000
3,48,5000,core,0.000079059000000
3,48,5000,node,0.000074405000000
3,49,5000,core,0.000264438000000
3,49,5000,node,0.000180442000000
3,50,5000,core,0.000190518000000
3,50,5000,node,0.000060713000000
3,51,5000,core,0.000165790000000
3,51,5000,node,0.000174682000000
3,52,5000,core,0.000251072000000
3,52,5000,node,0.000069927000000
3,53,5000,core,0.000225223000000
3,53,5000,node,0.000081995000000
3,54,5000,core,0.000093186000000
3,54,5000,node,0.000257266000000
3,55,5000,core,0.000101320000000
3,55,5000,node,0.000076109000000
3,56,5000,core,0.000290946000000
3,56,5000,node,0.000053080000000
3,57,5000,core,0.000117901000000
3,57,5000,node,0.000076018000000
3,58,5000,core,0.000143208000000
3,58,5000,node,0.000147876000000
3,59,5000,core,0.000156394000000
3,59,5000,node,0.000314033000000
3,60,5000,core,0.000216136000000
3,60,5000,node,0.000192531000000
3,61,5000,core,0.000144922000000
3,61,5000,node,0.000115347000000
3,62,5000,core,0.000311756000000
3,62,5000,node,0.000102974000000
3,63,5000,core,0.000337454000000
3,63,5000,node,0.000217067000000
3,64,5000,core,0.000150332000000
3,64,5000,node,0.000154741000000
3,65,5000,core,0.000254978000000
3,65,5000,node,0.000063931000000
3,66,5000,core,0.000192502000000
3,66,5000,node,0.000200447000000
3,67,5000,core,0.000296447000000
3,67,5000,node,0.000213557000000
3,68,5000,core,0.000243377000000
3,68,5000,node,0.000203873000000
3,69,5000,core,0.000258966000000
3,69,5000,node,0.000111400000000
3,70,5000,core,0.000195296000000
3,70,5000,node,0.000096291000000
3,71,5000,core,0.000202741000000
3,71,5000,node,0.000223998000000
3,72,5000,core,0.000364375000000
3,72,5000,node,0.000276690000000
3,73,5000,core,0.000375444000000
3,73,5000,node,0.000125655000000
3,74,5000,core,0.000284475000000
3,74,5000,node,0.000177955000000
3,75,5000,core,0.000391866000000
3,75,5000,node,0.000248928000000
3,76,5000,core,0.000135274000000
3,76,5000,node,0.000141245000000
3,77,5000,core,0.000306726000000
3,77,5000,node,0.000163242000000
3,78,5000,core,0.000433083000000
3,78,5000,node,0.000149051000000
3,79,5000,core,0.000164039000000
3,79,5000,node,0.000142202000000
3,80,5000,core,0.000384642000000
3,80,5000,node,0.000226915000000
3,81,5000,core,0.000280237000000
3,81,5000,node,0.000134385000000
3,82,5000,core,0.000390093000000
3,82,5000,node,0.000240670000000
3,83,5000,core,0.000410752000000
3,83,5000,node,0.000225471000000
3,84,5000,core,0.000285255000000
3,84,5000,node,0.000129562000000
3,85,5000,core,0.000400182000000
3,85,5000,node,0.000210418000000
3,86,5000,core,0.000288282000000
3,86,5000,node,0.000148964000000
3,87,5000,core,0.000112822000000
3,87,5000,node,0.000226001000000
3,88,5000,core,0.000462689000000
3,88,5000,node,0.000151625000000
3,89,5000,core,0.000414589000000
3,89,5000,node,0.000240966000000
3,90,5000,core,0.000646755000000
3,90,5000,node,0.000169448000000
3,91,5000,core,0.000309090000000
3,91,5000,node,0.000266491000000
3,92,5000,core,0.000417995000000
3,92,5000,node,0.000236504000000
3,93,5000,core,0.000653598000000
3,93,5000,node,0.000200043000000
3,94,5000,core,0.000261823000000
3,94,5000,node,0.000197642000000
3,95,5000,core,0.000452771000000
3,95,5000,node,0.000489910000000
3,96,5000,core,0.000779244000000
3,96,5000,node,0.000301446000000
3,97,5000,core,0.000523633000000
3,97,5000,node,0.000198368000000
3,98,5000,core,0.000689073000000
3,98,5000,node,0.000232917000000
3,99,5000,core,0.000538922000000
3,99,5000,node,0.000294914000000
3,100,5000,core,0.000481365000000
3,100,5000,node,0.000198934000000
3,101,5000,core,0.000536448000000
3,101,5000,node,0.000234381000000
3,102,5000,core,0.000429076000000
3,102,5000,node,0.000266832000000
3,103,5000,core,0.000129674000000
3,103,5000,node,0.000120171000000
3,104,5000,core,0.000304131000000
3,104,5000,node,0.000209641000000
3,105,5000,core,0.000501311000000
3,105,5000,node,0.000275377000000
3,106,5000,core,0.000368422000000
3,106,5000,node,0.000192832000000
3,107,5000,core,0.000462618000000
3,107,5000,node,0.000461885000000
3,108,5000,core,0.000360347000000
3,108,5000,node,0.000098033000000
3,109,5000,core,0.000297759000000
3,109,5000,node,0.000260549000000
3,110,5000,core,0.000308951000000
3,110,5000,node,0.000301067000000
3,111,5000,core,0.000586232000000
3,111,5000,node,0.000261050000000
3,112,5000,core,0.000324429000000
3,112,5000,node,0.000219611000000
3,113,5000,core,0.000559660000000
3,113,5000,node,0.000167063000000
3,114,5000,core,0.000554391000000
3,114,5000,node,0.000228108000000
3,115,5000,core,0.000396604000000
3,115,5000,node,0.000148091000000
3,116,5000,core,0.000359355000000
3,116,5000,node,0.000285436000000
3,117,5000,core,0.000338406000000
3,117,5000,node,0.000235722000000
3,118,5000,core,0.000347363000000
3,118,5000,node,0.000306939000000
3,119,5000,core,0.000362913000000
3,119,5000,node,0.000306665000000
3,120,5000,core,0.000488358000000
3,120,5000,node,0.000437611000000
3,121,5000,core,0.000353393000000
3,121,5000,node,0.000284588000000
3,122,5000,core,0.000990912000000
3,122,5000,node,0.000112882000000
3,123,5000,core,0.000471846000000
3,123,5000,node,0.000211077000000
3,124,5000,core,0.000183655000000
3,124,5000,node,0.000026442000000
3,125,5000,core,0.000590419000000
3,125,5000,node,0.000149891000000
3,126,5000,core,0.000239129000000
3,126,5000,node,0.000041377000000
3,127,5000,core,0.000725894000000
3,127,5000,node,0.000261812000000
3,128,5000,core,0.000241704000000
3,128,5000,node,0.000221156000000
3,129,5000,core,0.000337635000000
3,129,5000,node,0.000186178000000
3,130,5000,core,0.000407205000000
3,130,5000,node,0.000339355000000
3,131,5000,core,0.000748366000000
3,131,5000,node,0.000319362000000
3,132,5000,core,0.000815953000000
3,132,5000,node,0.000446556000000
3,133,5000,core,0.000300454000000
3,133,5000,node,0.000141727000000
3,134,5000,core,0.000272131000000
3,134,5000,node,0.000329559000000
3,135,5000,core,0.000213031000000
3,135,5000,node,0.000266492000000
3,136,5000,core,0.000641575000000
3,136,5000,node,0.001156907000000
3,137,5000,core,0.000557508000000
3,137,5000,node,0.000216100000000
3,138,5000,core,0.000680829000000
3,138,5000,node,0.000373560000000
3,139,5000,core,0.000383601000000
3,139,5000,node,0.000225010000000
3,140,5000,core,0.000265349000000
3,140,5000,node,0.000270298000000
3,141,5000,core,0.000233609000000
3,141,5000,node,0.000577304000000
3,142,5000,core,0.000291698000000
3,142,5000,node,0.000256892000000
3,143,5000,core,0.000264167000000
3,143,5000,node,0.000371051000000
3,144,5000,core,0.000484651000000
3,144,5000,node,0.000251984000000
3,145,5000,core,0.000605748000000
3,145,5000,node,0.000227547000000
3,146,5000,core,0.000837934000000
3,146,5000,node,0.000349739000000
3,147,5000,core,0.000502584000000
3,147,5000,node,0.000290216000000
3,148,5000,core,0.000872229000000
3,148,5000,node,0.000195127000000
3,149,5000,core,0.000686609000000
3,149,5000,node,0.000268466000000
3,150,5000,core,0.000275186000000
3,150,5000,node,0.000455210000000
3,151,5000,core,0.000570522000000
3,151,5000,node,0.000391764000000
3,152,5000,core,0.000281579000000
3,152,5000,node,0.000369212000000
3,153,5000,core,0.000711777000000
3,153,5000,node,0.000251713000000
3,154,5000,core,0.000219903000000
3,154,5000,node,0.000070401000000
3,155,5000,core,0.000510008000000
3,155,5000,node,0.000390184000000
3,156,5000,core,0.000246043000000
3,156,5000,node,0.000563929000000
3,157,5000,core,0.000365827000000
3,157,5000,node,0.000200446000000
3,158,5000,core,0.000294243000000
3,158,5000,node,0.000371248000000
3,159,5000,core,0.000680780000000
3,159,5000,node,0.000592533000000
3,160,5000,core,0.000430619000000
3,160,5000,node,0.000337154000000
3,161,5000,core,0.000655291000000
3,161,5000,node,0.000345689000000
3,162,5000,core,0.000530326000000
3,162,5000,node,0.000300745000000
3,163,5000,core,0.000402575000000
3,163,5000,node,0.000631786000000
3,164,5000,core,0.000911031000000
3,164,5000,node,0.000241484000000
3,165,5000,core,0.000931044000000
3,165,5000,node,0.000272302000000
3,166,5000,core,0.000463811000000
3,166,5000,node,0.000359485000000
3,167,5000,core,0.000815081000000
3,167,5000,node,0.000341883000000
3,168,5000,core,0.000486184000000
3,168,5000,node,0.000682572000000
3,169,5000,core,0.000454674000000
3,169,5000,node,0.000360317000000
3,170,5000,core,0.000283092000000
3,170,5000,node,0.000362832000000
3,171,5000,core,0.000654940000000
3,171,5000,node,0.000513484000000
3,172,5000,core,0.000364906000000
3,172,5000,node,0.000419898000000
3,173,5000,core,0.000242476000000
3,173,5000,node,0.000471035000000
3,174,5000,core,0.000298731000000
3,174,5000,node,0.000244740000000
3,175,5000,core,0.000423877000000
3,175,5000,node,0.000511300000000
3,176,5000,core,0.000235873000000
3,176,5000,node,0.000617088000000
3,177,5000,core,0.000254649000000
3,177,5000,node,0.000466886000000
3,178,5000,core,0.000247354000000
3,178,5000,node,0.000516230000000
3,179,5000,core,0.000611699000000
3,179,5000,node,0.000547334000000
3,180,5000,core,0.000499279000000
3,180,5000,node,0.000457299000000
3,181,5000,core,0.000769746000000
3,181,5000,node,0.000428456000000
3,182,5000,core,0.000268284000000
3,182,5000,node,0.000453131000000
3,183,5000,core,0.000312557000000
3,183,5000,node,0.000445883000000
3,184,5000,core,0.000608943000000
3,184,5000,node,0.000431911000000
3,185,5000,core,0.000691137000000
3,185,5000,node,0.000345049000000
3,186,5000,core,0.000379432000000
3,186,5000,node,0.000237025000000
3,187,5000,core,0.000331502000000
3,187,5000,node,0.000827612000000
3,188,5000,core,0.000557327000000
3,188,5000,node,0.000112522000000
3,189,5000,core,0.000439205000000
3,189,5000,node,0.000690827000000
3,190,5000,core,0.000356780000001
3,190,5000,node,0.000344092000000
3,191,5000,core,0.000555744000000
3,191,5000,node,0.000528072000000
3,192,5000,core,0.000150212000000
3,192,5000,node,0.000457813000000
3,193,5000,core,0.000318818000000
3,193,5000,node,0.000212773000000
3,194,5000,core,0.000155021000000
3,194,5000,node,0.000395513000000
3,195,5000,core,0.000203433000000
3,195,5000,node,0.000460328000000
3,196,5000,core,0.000182422000000
3,196,5000,node,0.000634038000000
3,197,5000,core,0.000353163000000
3,197,5000,node,0.000646043000000
3,198,5000,core,0.000315853000000
3,198,5000,node,0.000084498000000
3,199,5000,core,0.000207027999999
3,199,5000,node,0.000346301000000
3,200,5000,core,0.000395434000000
3,200,5000,node,0.000339628000000
3,201,5000,core,0.000351961000000
3,201,5000,node,0.000223988000000
3,202,5000,core,0.000269445000000
3,202,5000,node,0.000511202000000
3,203,5000,core,0.000202610000001
3,203,5000,node,0.000373103000000
3,204,5000,core,0.000184851000000
3,204,5000,node,0.000004949000000
3,205,5000,core,0.000190638000000
3,205,5000,node,0.000488969000000
3,206,5000,core,0.000273444999999
3,206,5000,node,0.000394350000000
3,207,5000,core,0.000608621000000
3,207,5000,node,0.000389201000000
3,208,5000,core,0.000282375000000
3,208,5000,node,0.000833549000000
3,209,5000,core,0.000378691000000
3,209,5000,node,0.000701715000000
3,210,5000,core,0.000277952999999
3,210,5000,node,0.000500911000000
3,211,5000,core,0.000308218000000
3,211,5000,node,0.000550349000000
3,212,5000,core,0.000476554000000
3,212,5000,node,0.000287159000000
3,213,5000,core,0.000285183999999
3,213,5000,node,0.000416072000000
3,214,5000,core,0.000271556000000
3,214,5000,node,0.000177004000000
3,215,5000,core,0.000451115000000
3,215,5000,node,0.000394411000000
3,216,5000,core,0.000400686000000
3,216,5000,node,0.000369044000000
3,217,5000,core,0.000470736000000
3,217,5000,node,0.000425968000000
3,218,5000,core,0.000328351000000
3,218,5000,node,0.000178832000000
3,219,5000,core,0.000456327000000
3,219,5000,node,0.000667183000000
3,220,5000,core,0.000416205000000
3,220,5000,node,0.000045756000000
3,221,5000,core,0.000304741000001
3,221,5000,node,0.000386213000000
3,222,5000,core,0.000343291000000
3,222,5000,node,0.000595016000000
3,223,5000,core,0.000514004000000
3,223,5000,node,0.000777541000000
3,224,5000,core,0.000323199000000
3,224,5000,node,0.000122621000000
3,225,5000,core,0.000492583000000
3,225,5000,node,0.000415119000000
3,226,5000,core,0.000315099000000
3,226,5000,node,0.000153767000000
3,227,5000,core,0.000354930000000
3,227,5000,node,0.000823677000000
3,228,5000,core,0.000448039999999
3,228,5000,node,0.000278173000000
3,229,5000,core,0.000671915000000
3,229,5000,node,0.000640794000000
3,230,5000,core,0.000608734000000
3,230,5000,node,0.000596488000000
3,231,5000,core,0.000629275000000
3,231,5000,node,0.000923014000000
3,232,5000,core,0.000471692000000
3,232,5000,node,0.000197200000000
3,233,5000,core,0.000575640999999
3,233,5000,node,0.000297659000000
3,234,5000,core,0.000563008000000
3,234,5000,node,0.000868371000000
3,235,5000,core,0.000423060000000
3,235,5000,node,0.000380041000000
3,236,5000,core,0.000388312000000
3,236,5000,node,0.000623327000000
3,237,5000,core,0.000614858000000
3,237,5000,node,0.000751115000000
3,238,5000,core,0.000433470000001
3,238,5000,node,0.000138279000000
3,239,5000,core,0.000714606000000
3,239,5000,node,0.000435580000000
3,240,5000,core,0.000399901000002
3,240,5000,node,0.000567292000000
3,241,5000,core,0.000432698000000
3,241,5000,node,0.000370786000000
3,242,5000,core,0.000456758000000
3,242,5000,node,0.000569435000000
3,243,5000,core,0.000451307000001
3,243,5000,node,0.000873040000000
3,244,5000,core,0.000402824000000
3,244,5000,node,0.000215013000000
3,245,5000,core,0.000512247000001
3,245,5000,node,0.000489031000000
3,246,5000,core,0.000439913000000
3,246,5000,node,0.000455756000000
3,247,5000,core,0.000772235000000
3,247,5000,node,0.000604836000000
3,248,5000,core,0.000755589000000
3,248,5000,node,0.000133571000000
3,249,5000,core,0.000629271000001
3,249,5000,node,0.000595689000001
3,250,5000,core,0.000364313000000
3,250,5000,node,0.000113174000000
3,251,5000,core,0.000541911000000
3,251,5000,node,0.000422093000000
3,252,5000,core,0.000461067000002
3,252,5000,node,0.000279580000000
3,253,5000,core,0.000539403000000
3,253,5000,node,0.000602499000000
3,254,5000,core,0.000541526000001
3,254,5000,node,0.000981023000000
3,255,5000,core,0.000507634000000
3,255,5000,node,0.000780827000000
3,256,5000,core,0.000605094000000
3,256,5000,node,0.000017738000000
