Algorithm,MPI_Processes,Data_Size,Allocation,Latency
2,2,5000,core,0.000000902000000
2,2,5000,node,0.000012545000000
2,3,5000,core,0.000010710000000
2,3,5000,node,0.000015100000000
2,4,5000,core,0.000007173000000
2,4,5000,node,0.000008560000000
2,5,5000,core,0.000005820000000
2,5,5000,node,0.000020700000000
2,6,5000,core,0.000008526000000
2,6,5000,node,0.000040467000000
2,7,5000,core,0.000002245000000
2,7,5000,node,0.000042690000000
2,8,5000,core,0.000007163000000
2,8,5000,node,0.000044248000000
2,9,5000,core,0.000017983000000
2,9,5000,node,0.000079275000000
2,10,5000,core,0.000018264000000
2,10,5000,node,0.000051917000000
2,11,5000,core,0.000035836000000
2,11,5000,node,0.000052430000000
2,12,5000,core,0.000054513000000
2,12,5000,node,0.000059772000000
2,13,5000,core,0.000018786000000
2,13,5000,node,0.000264626000000
2,14,5000,core,0.000020518000000
2,14,5000,node,0.000101366000000
2,15,5000,core,0.000015489000000
2,15,5000,node,0.000089233000000
2,16,5000,core,0.000045014000000
2,16,5000,node,0.000121789000000
2,17,5000,core,0.000038773000000
2,17,5000,node,0.000106289000000
2,18,5000,core,0.000072216000000
2,18,5000,node,0.000119158000000
2,19,5000,core,0.000063540000000
2,19,5000,node,0.000123693000000
2,20,5000,core,0.000078377000000
2,20,5000,node,0.000175423000000
2,21,5000,core,0.000034815000000
2,21,5000,node,0.000125582000000
2,22,5000,core,0.000033844000000
2,22,5000,node,0.000162491000000
2,23,5000,core,0.000061766000000
2,23,5000,node,0.000126143000000
2,24,5000,core,0.000070763000000
2,24,5000,node,0.000141592000000
2,25,5000,core,0.000044843000000
2,25,5000,node,0.000166058000000
2,26,5000,core,0.000033453000000
2,26,5000,node,0.000170517000000
2,27,5000,core,0.000086251000000
2,27,5000,node,0.000133920000000
2,28,5000,core,0.000045846000000
2,28,5000,node,0.000152286000000
2,29,5000,core,0.000157565000000
2,29,5000,node,0.000209506000000
2,30,5000,core,0.000098074000000
2,30,5000,node,0.000214993000000
2,31,5000,core,0.000049973000000
2,31,5000,node,0.000213159000000
2,32,5000,core,0.000153327000000
2,32,5000,node,0.000178845000000
2,33,5000,core,0.000187822000000
2,33,5000,node,0.000274606000000
2,34,5000,core,0.000140954000000
2,34,5000,node,0.000256194000000
2,35,5000,core,0.000187191000000
2,35,5000,node,0.000304954000000
2,36,5000,core,0.000137948000000
