Algorithm,MPI_Processes,Data_Size,Allocation,Latency
4,2,5000,core,0.000004378000000
4,2,5000,node,0.000006442000000
4,3,5000,core,0.000004538000000
4,3,5000,node,0.000006472000000
4,4,5000,core,0.000005220000000
4,4,5000,node,0.000008346000000
4,5,5000,core,0.000009327000000
4,5,5000,node,0.000009788000000
4,6,5000,core,0.000009557000000
4,6,5000,node,0.000009448000000
4,7,5000,core,0.000009357000000
4,7,5000,node,0.000011893000000
4,8,5000,core,0.000007253000000
4,8,5000,node,0.000011482000000
4,9,5000,core,0.000008066000000
4,9,5000,node,0.000012353000000
4,10,5000,core,0.000008296000000
4,10,5000,node,0.000015779000000
4,11,5000,core,0.000008786000000
4,11,5000,node,0.000013856000000
4,12,5000,core,0.000008737000000
4,12,5000,node,0.000013966000000
4,13,5000,core,0.000010089000000
4,13,5000,node,0.000018044000000
4,14,5000,core,0.000010179000000
4,14,5000,node,0.000018174000000
4,15,5000,core,0.000010339000000
4,15,5000,node,0.000018775000000
4,16,5000,core,0.000009007000000
4,16,5000,node,0.000017553000000
4,17,5000,core,0.000011251000000
4,17,5000,node,0.000019997000000
4,18,5000,core,0.000011131000000
4,18,5000,node,0.000018555000000
4,19,5000,core,0.000010790000000
4,19,5000,node,0.000019446000000
4,20,5000,core,0.000011953000000
4,20,5000,node,0.000019106000000
4,21,5000,core,0.000009789000000
4,21,5000,node,0.000016431000000
4,22,5000,core,0.000010801000000
4,22,5000,node,0.000016972000000
4,23,5000,core,0.000012023000000
4,23,5000,node,0.000019908000000
4,24,5000,core,0.000014307000000
4,24,5000,node,0.000016731000000
4,25,5000,core,0.000013695000000
4,25,5000,node,0.000022261000000
4,26,5000,core,0.000011441000000
4,26,5000,node,0.000021800000000
4,27,5000,core,0.000014067000000
4,27,5000,node,0.000021150000000
4,28,5000,core,0.000015018000000
4,28,5000,node,0.000022212000000
4,29,5000,core,0.000014668000000
4,29,5000,node,0.000018836000000
4,30,5000,core,0.000012193000000
4,30,5000,node,0.000021500000000
4,31,5000,core,0.000010910000000
4,31,5000,node,0.000020809000000
4,32,5000,core,0.000015048000000
4,32,5000,node,0.000023995000000
4,33,5000,core,0.000018945000000
4,33,5000,node,0.000027191000000
4,34,5000,core,0.000018755000000
4,34,5000,node,0.000026680000000
4,35,5000,core,0.000017062000000
4,35,5000,node,0.000027642000000
4,36,5000,core,0.000017823000000
4,36,5000,node,0.000026881000000
4,37,5000,core,0.000018635000000
4,37,5000,node,0.000028384000000
4,38,5000,core,0.000017542000000
4,38,5000,node,0.000025267000000
4,39,5000,core,0.000019086000000
4,39,5000,node,0.000026921000000
4,40,5000,core,0.000016371000000
4,40,5000,node,0.000027912000000
4,41,5000,core,0.000020318000000
4,41,5000,node,0.000027552000000
4,42,5000,core,0.000018315000000
4,42,5000,node,0.000026099000000
4,43,5000,core,0.000018615000000
4,43,5000,node,0.000023725000000
4,44,5000,core,0.000017784000000
4,44,5000,node,0.000024616000000
4,45,5000,core,0.000018124000000
4,45,5000,node,0.000023094000000
4,46,5000,core,0.000018294000000
4,46,5000,node,0.000025999000000
4,47,5000,core,0.000019837000000
4,47,5000,node,0.000025017000000
4,48,5000,core,0.000018505000000
4,48,5000,node,0.000025518000000
4,49,5000,core,0.000017783000000
4,49,5000,node,0.000027962000000
4,50,5000,core,0.000022322000000
4,50,5000,node,0.000027772000000
4,51,5000,core,0.000021991000000
4,51,5000,node,0.000024997000000
4,52,5000,core,0.000018374000000
4,52,5000,node,0.000026039000000
4,53,5000,core,0.000022502000000
4,53,5000,node,0.000029816000000
4,54,5000,core,0.000020719000000
4,54,5000,node,0.000028273000000
4,55,5000,core,0.000022582000000
4,55,5000,node,0.000028273000000
4,56,5000,core,0.000022072000000
