Algorithm,MPI_Processes,Data_Size,Allocation,Latency
1,2,5000,core,0.000000952000000
1,2,5000,node,0.000005627000000
1,3,5000,core,0.000021290000000
1,3,5000,node,0.000013145000000
1,4,5000,core,0.000002926000000
1,4,5000,node,0.000006229000000
1,5,5000,core,0.000006732000000
1,5,5000,node,0.000010931000000
1,6,5000,core,0.000010018000000
1,6,5000,node,0.000027000000000
1,7,5000,core,0.000023074000000
1,7,5000,node,0.000040936000000
1,8,5000,core,0.000017212000000
1,8,5000,node,0.000020678000000
1,9,5000,core,0.000023765000000
1,9,5000,node,0.000037392000000
1,10,5000,core,0.000023985000000
1,10,5000,node,0.000022883000000
1,11,5000,core,0.000026941000000
1,11,5000,node,0.000028223000000
1,12,5000,core,0.000029896000000
1,12,5000,node,0.000032721000000
1,13,5000,core,0.000033383000000
1,13,5000,node,0.000040467000000
1,14,5000,core,0.000036769000000
1,14,5000,node,0.000209981000000
1,15,5000,core,0.000073889000000
1,15,5000,node,0.000041959000000
1,16,5000,core,0.000056386000000
1,16,5000,node,0.000048832000000
1,17,5000,core,0.000047880000000
1,17,5000,node,0.000060111000000
1,18,5000,core,0.000051517000000
1,18,5000,node,0.000050675000000
1,19,5000,core,0.000086441000000
1,19,5000,node,0.000066678000000
1,20,5000,core,0.000057768000000
1,20,5000,node,0.000055063000000
1,21,5000,core,0.000061525000000
1,21,5000,node,0.000058560000000
1,22,5000,core,0.000064842000000
1,22,5000,node,0.000060113000000
1,23,5000,core,0.000068458000000
1,23,5000,node,0.000072937000000
1,24,5000,core,0.000071895000000
1,24,5000,node,0.000089583000000
1,25,5000,core,0.000074941000000
1,25,5000,node,0.000086695000000
1,26,5000,core,0.000078918000000
1,26,5000,node,0.000085449000000
1,27,5000,core,0.000122430000000
1,27,5000,node,0.000078578000000
1,28,5000,core,0.000085941000000
1,28,5000,node,0.000089943000000
1,29,5000,core,0.000088887000000
1,29,5000,node,0.000091196000000
1,30,5000,core,0.000092023000000
1,30,5000,node,0.000088155000000
1,31,5000,core,0.000096170000000
1,31,5000,node,0.000093055000000
1,32,5000,core,0.000171130000000
1,32,5000,node,0.000097093000000
1,33,5000,core,0.000168686000000
1,33,5000,node,0.000138636000000
1,34,5000,core,0.000145472000000
1,34,5000,node,0.000127940000000
1,35,5000,core,0.000176792000000
1,35,5000,node,0.000129973000000
1,36,5000,core,0.000115366000000
1,36,5000,node,0.000121747000000
1,37,5000,core,0.000197090000000
1,37,5000,node,0.000123899000000
1,38,5000,core,0.000190618000000
1,38,5000,node,0.000110428000000
1,39,5000,core,0.000192823000000
1,39,5000,node,0.000146952000000
1,40,5000,core,0.000223009000000
1,40,5000,node,0.000119569000000
1,41,5000,core,0.000178325000000
1,41,5000,node,0.000178683000000
1,42,5000,core,0.000244089000000
1,42,5000,node,0.000169458000000
1,43,5000,core,0.000245672000000
1,43,5000,node,0.000169237000000
1,44,5000,core,0.000250030000000
1,44,5000,node,0.000130194000000
1,45,5000,core,0.000213360000000
1,45,5000,node,0.000137798000000
1,46,5000,core,0.000243507000000
1,46,5000,node,0.000145194000000
1,47,5000,core,0.000206527000000
1,47,5000,node,0.000160440000000
1,48,5000,core,0.000187121000000
1,48,5000,node,0.000183165000000
1,49,5000,core,0.000288251000000
1,49,5000,node,0.000193392000000
1,50,5000,core,0.000336652000000
1,50,5000,node,0.000165171000000
1,51,5000,core,0.000180679000000
1,51,5000,node,0.000181550000000
1,52,5000,core,0.000308920000000
1,52,5000,node,0.000156364000000
1,53,5000,core,0.000295134000000
1,53,5000,node,0.000160251000000
1,54,5000,core,0.000341220000000
1,54,5000,node,0.000236260000000
1,55,5000,core,0.000214994000000
1,55,5000,node,0.000168827000000
1,56,5000,core,0.000336533000000
1,56,5000,node,0.000169137000000
1,57,5000,core,0.000306035000000
1,57,5000,node,0.000175089000000
1,58,5000,core,0.000210285000000
1,58,5000,node,0.000289159000000
1,59,5000,core,0.000221677000000
1,59,5000,node,0.000222847000000
1,60,5000,core,0.000222498000000
1,60,5000,node,0.000185098000000
1,61,5000,core,0.000223280000000
1,61,5000,node,0.000319018000000
1,62,5000,core,0.000368833000000
1,62,5000,node,0.000193213000000
1,63,5000,core,0.000237956000000
1,63,5000,node,0.000240089000000
1,64,5000,core,0.000394651000000
1,64,5000,node,0.000241244000000
1,65,5000,core,0.000412445000000
1,65,5000,node,0.000205015000000
1,66,5000,core,0.000432723000000
1,66,5000,node,0.000329939000000
1,67,5000,core,0.000339728000000
1,67,5000,node,0.000251802000000
1,68,5000,core,0.000372380000000
1,68,5000,node,0.000315783000000
1,69,5000,core,0.000426420000000
1,69,5000,node,0.000217588000000
1,70,5000,core,0.000347972000000
1,70,5000,node,0.000254488000000
1,71,5000,core,0.000415771000000
1,71,5000,node,0.000272971000000
1,72,5000,core,0.000561435000000
1,72,5000,node,0.000332645000000
1,73,5000,core,0.000385915000000
1,73,5000,node,0.000278636000000
1,74,5000,core,0.000420809000000
1,74,5000,node,0.000281057000000
1,75,5000,core,0.000374172999999
1,75,5000,node,0.000257426000000
1,76,5000,core,0.000476145000000
1,76,5000,node,0.000278754000000
1,77,5000,core,0.000414247000000
1,77,5000,node,0.000344350000000
1,78,5000,core,0.000526659000000
1,78,5000,node,0.000297630000000
1,79,5000,core,0.000523473000000
1,79,5000,node,0.000384693000000
1,80,5000,core,0.000462429000000
1,80,5000,node,0.000324760000000
1,81,5000,core,0.000657385000000
1,81,5000,node,0.000348617000000
1,82,5000,core,0.000529413000000
1,82,5000,node,0.000311980999999
1,83,5000,core,0.000537439000000
1,83,5000,node,0.000403938000000
1,84,5000,core,0.000613511999999
1,84,5000,node,0.000434857000000
1,85,5000,core,0.000512702000000
1,85,5000,node,0.000421906000000
1,86,5000,core,0.000678705000000
1,86,5000,node,0.000377007000000
1,87,5000,core,0.000460646000000
1,87,5000,node,0.000389451999999
1,88,5000,core,0.000812566000000
1,88,5000,node,0.000334467000000
1,89,5000,core,0.000528391000000
1,89,5000,node,0.000434707000000
1,90,5000,core,0.000560012000000
1,90,5000,node,0.000381315000000
1,91,5000,core,0.000648849000000
1,91,5000,node,0.000419517999999
1,92,5000,core,0.000622638000001
1,92,5000,node,0.000291547000000
1,93,5000,core,0.000638289000000
1,93,5000,node,0.000393960000000
1,94,5000,core,0.000555453000000
1,94,5000,node,0.000362378000000
1,95,5000,core,0.000522310999999
1,95,5000,node,0.000541815000000
1,96,5000,core,0.000734720000000
1,96,5000,node,0.000364865000000
1,97,5000,core,0.001119473000000
1,97,5000,node,0.000310503000000
1,98,5000,core,0.000545444000000
1,98,5000,node,0.000568757000000
1,99,5000,core,0.000558349000000
1,99,5000,node,0.000338666000000
1,100,5000,core,0.000641444000000
