Algorithm,MPI_Processes,Data_Size,Allocation,Latency
3,2,2000,core,0.0000007620
3,2,2000,node,0.0000072040
3,3,2000,core,0.0000014720
3,3,2000,node,0.0000079750
3,4,2000,core,0.0000015630
3,4,2000,node,0.0000102490
3,5,2000,core,0.0000043080
3,5,2000,node,0.0000135760
3,6,2000,core,0.0000046080
3,6,2000,node,0.0000131450
3,7,2000,core,0.0000061410
3,7,2000,node,0.0000138860
3,8,2000,core,0.0000073440
3,8,2000,node,0.0000138560
3,9,2000,core,0.0000087660
3,9,2000,node,0.0000178040
3,10,2000,core,0.0000097090
3,10,2000,node,0.0000220110
3,11,2000,core,0.0000110410
3,11,2000,node,0.0000219910
3,12,2000,core,0.0000119420
3,12,2000,node,0.0000224420
3,13,2000,core,0.0000125940
3,13,2000,node,0.0000220820
3,14,2000,core,0.0000136360
3,14,2000,node,0.0000208290
3,15,2000,core,0.0000149980
3,15,2000,node,0.0000209790
3,16,2000,core,0.0000150280
3,16,2000,node,0.0000194060
3,17,2000,core,0.0000165310
3,17,2000,node,0.0000217710
3,18,2000,core,0.0000169820
3,18,2000,node,0.0000232530
3,19,2000,core,0.0000170220
3,19,2000,node,0.0000230030
3,20,2000,core,0.0000175130
3,20,2000,node,0.0000248770
3,21,2000,core,0.0000176930
3,21,2000,node,0.0000260690
3,22,2000,core,0.0000191060
3,22,2000,node,0.0000262200
3,23,2000,core,0.0000207990
3,23,2000,node,0.0000258590
3,24,2000,core,0.0000210400
3,24,2000,node,0.0000261890
3,25,2000,core,0.0000215600
3,25,2000,node,0.0000259790
3,26,2000,core,0.0000221510
3,26,2000,node,0.0000262190
3,27,2000,core,0.0000224020
3,27,2000,node,0.0000263800
3,28,2000,core,0.0000225920
3,28,2000,node,0.0000262000
3,29,2000,core,0.0000229730
3,29,2000,node,0.0000261290
3,30,2000,core,0.0000237640
3,30,2000,node,0.0000263090
3,31,2000,core,0.0000248360
3,31,2000,node,0.0000263090
3,32,2000,core,0.0000242550
3,32,2000,node,0.0000260190
3,33,2000,core,0.0000256280
3,33,2000,node,0.0000270610
3,34,2000,core,0.0000261890
3,34,2000,node,0.0000286540
3,35,2000,core,0.0000265000
3,35,2000,node,0.0000284730
3,36,2000,core,0.0000268910
3,36,2000,node,0.0000289050
3,37,2000,core,0.0000270210
3,37,2000,node,0.0000289850
3,38,2000,core,0.0000277220
3,38,2000,node,0.0000295860
3,39,2000,core,0.0000278220
3,39,2000,node,0.0000294750
3,40,2000,core,0.0000281720
3,40,2000,node,0.0000299460
3,41,2000,core,0.0000289150
3,41,2000,node,0.0000307880
3,42,2000,core,0.0000292550
3,42,2000,node,0.0000335930
3,43,2000,core,0.0000296460
3,43,2000,node,0.0000333030
3,44,2000,core,0.0000304970
3,44,2000,node,0.0000331020
3,45,2000,core,0.0000315590
3,45,2000,node,0.0000333530
3,46,2000,core,0.0000324210
3,46,2000,node,0.0000330320
3,47,2000,core,0.0000340040
3,47,2000,node,0.0000333020
3,48,2000,core,0.0000346250
3,48,2000,node,0.0000334430
3,49,2000,core,0.0000351060
3,49,2000,node,0.0000335730
3,50,2000,core,0.0000351960
3,50,2000,node,0.0000333830
3,51,2000,core,0.0000365090
3,51,2000,node,0.0000333830
3,52,2000,core,0.0000411070
3,52,2000,node,0.0000332730
3,53,2000,core,0.0000420390
3,53,2000,node,0.0000333430
3,54,2000,core,0.0000382520
3,54,2000,node,0.0000336130
3,55,2000,core,0.0000428910
3,55,2000,node,0.0000337340
3,56,2000,core,0.0000429700
3,56,2000,node,0.0000339140
3,57,2000,core,0.0000446140
3,57,2000,node,0.0000338740
3,58,2000,core,0.0000447840
3,58,2000,node,0.0000335130
3,59,2000,core,0.0000456350
3,59,2000,node,0.0000344350
3,60,2000,core,0.0000459960
3,60,2000,node,0.0000361180
3,61,2000,core,0.0000467480
3,61,2000,node,0.0000364380
3,62,2000,core,0.0000469880
3,62,2000,node,0.0000361880
3,63,2000,core,0.0000480110
3,63,2000,node,0.0000361980
3,64,2000,core,0.0000466580
3,64,2000,node,0.0000392340
3,65,2000,core,0.0000483410
3,65,2000,node,0.0000485710
3,66,2000,core,0.0000497440
3,66,2000,node,0.0000414180
3,67,2000,core,0.0000499040
3,67,2000,node,0.0000503750
3,68,2000,core,0.0000511860
3,68,2000,node,0.0000424900
3,69,2000,core,0.0000521880
3,69,2000,node,0.0000510560
3,70,2000,core,0.0000527790
3,70,2000,node,0.0000441230
3,71,2000,core,0.0000529090
3,71,2000,node,0.0000513560
3,72,2000,core,0.0000539420
3,72,2000,node,0.0000453250
3,73,2000,core,0.0000548030
3,73,2000,node,0.0000530600
3,74,2000,core,0.0000555250
3,74,2000,node,0.0000473690
3,75,2000,core,0.0000563960
3,75,2000,node,0.0000555040
3,76,2000,core,0.0000568060
3,76,2000,node,0.0000473990
3,77,2000,core,0.0000573270
3,77,2000,node,0.0000554550
3,78,2000,core,0.0000578890
3,78,2000,node,0.0000474590
3,79,2000,core,0.0000585600
3,79,2000,node,0.0000568170
3,80,2000,core,0.0000593510
3,80,2000,node,0.0000484210
3,81,2000,core,0.0000605840
3,81,2000,node,0.0000580400
3,82,2000,core,0.0000616760
3,82,2000,node,0.0000508650
3,83,2000,core,0.0000550340
3,83,2000,node,0.0000608040
3,84,2000,core,0.0000558450
3,84,2000,node,0.0000523680
3,85,2000,core,0.0000566060
3,85,2000,node,0.0000634890
3,86,2000,core,0.0000571570
3,86,2000,node,0.0000544120
3,87,2000,core,0.0000583900
3,87,2000,node,0.0000641510
3,88,2000,core,0.0000594620
3,88,2000,node,0.0000553940
3,89,2000,core,0.0000609350
3,89,2000,node,0.0000651830
3,90,2000,core,0.0000618360
3,90,2000,node,0.0000566970
3,91,2000,core,0.0000623170
3,91,2000,node,0.0000652620
3,92,2000,core,0.0000631880
3,92,2000,node,0.0000567360
3,93,2000,core,0.0000641110
3,93,2000,node,0.0000657540
