Algorithm,MPI_Processes,Data_Size,Allocation,Latency
4,2,2000,core,0.0000008010
4,2,2000,node,0.0000068130
4,3,2000,core,0.0000014730
4,3,2000,node,0.0000077150
4,4,2000,core,0.0000015730
4,4,2000,node,0.0000103090
4,5,2000,core,0.0000038870
4,5,2000,node,0.0000108800
4,6,2000,core,0.0000043080
4,6,2000,node,0.0000130740
4,7,2000,core,0.0000051400
4,7,2000,node,0.0000132750
4,8,2000,core,0.0000072140
4,8,2000,node,0.0000140960
4,9,2000,core,0.0000091570
4,9,2000,node,0.0000164110
4,10,2000,core,0.0000100090
4,10,2000,node,0.0000202980
4,11,2000,core,0.0000113210
4,11,2000,node,0.0000203590
4,12,2000,core,0.0000120830
4,12,2000,node,0.0000209590
4,13,2000,core,0.0000125830
4,13,2000,node,0.0000207990
4,14,2000,core,0.0000136350
4,14,2000,node,0.0000238850
4,15,2000,core,0.0000150580
4,15,2000,node,0.0000235040
4,16,2000,core,0.0000131640
4,16,2000,node,0.0000196770
4,17,2000,core,0.0000143460
4,17,2000,node,0.0000208390
4,18,2000,core,0.0000151690
4,18,2000,node,0.0000206690
4,19,2000,core,0.0000159000
4,19,2000,node,0.0000206890
4,20,2000,core,0.0000168720
4,20,2000,node,0.0000208390
4,21,2000,core,0.0000172820
4,21,2000,node,0.0000209890
4,22,2000,core,0.0000177630
4,22,2000,node,0.0000210790
4,23,2000,core,0.0000183140
4,23,2000,node,0.0000212100
4,24,2000,core,0.0000191160
4,24,2000,node,0.0000224820
4,25,2000,core,0.0000194260
4,25,2000,node,0.0000225120
4,26,2000,core,0.0000196970
4,26,2000,node,0.0000218910
4,27,2000,core,0.0000199070
4,27,2000,node,0.0000224120
4,28,2000,core,0.0000201780
4,28,2000,node,0.0000228130
4,29,2000,core,0.0000206380
4,29,2000,node,0.0000226530
4,30,2000,core,0.0000210390
4,30,2000,node,0.0000226920
4,31,2000,core,0.0000216410
4,31,2000,node,0.0000231030
4,32,2000,core,0.0000129340
4,32,2000,node,0.0000258180
4,33,2000,core,0.0000143460
4,33,2000,node,0.0000275120
4,34,2000,core,0.0000144070
4,34,2000,node,0.0000271400
4,35,2000,core,0.0000144870
4,35,2000,node,0.0000277210
4,36,2000,core,0.0000145070
4,36,2000,node,0.0000282630
4,37,2000,core,0.0000146970
4,37,2000,node,0.0000280520
4,38,2000,core,0.0000146270
4,38,2000,node,0.0000286940
4,39,2000,core,0.0000145680
4,39,2000,node,0.0000286440
4,40,2000,core,0.0000145670
4,40,2000,node,0.0000279920
4,41,2000,core,0.0000146680
4,41,2000,node,0.0000308080
4,42,2000,core,0.0000145570
4,42,2000,node,0.0000296750
4,43,2000,core,0.0000146770
4,43,2000,node,0.0000302060
4,44,2000,core,0.0000149880
4,44,2000,node,0.0000314390
4,45,2000,core,0.0000153290
4,45,2000,node,0.0000311280
4,46,2000,core,0.0000154990
4,46,2000,node,0.0000306070
4,47,2000,core,0.0000158990
4,47,2000,node,0.0000320000
4,48,2000,core,0.0000165310
4,48,2000,node,0.0000330720
4,49,2000,core,0.0000172020
4,49,2000,node,0.0000336730
4,50,2000,core,0.0000172320
4,50,2000,node,0.0000335030
4,51,2000,core,0.0000170720
4,51,2000,node,0.0000336330
4,52,2000,core,0.0000171120
4,52,2000,node,0.0000340240
4,53,2000,core,0.0000172130
4,53,2000,node,0.0000348550
4,54,2000,core,0.0000171020
4,54,2000,node,0.0000352560
4,55,2000,core,0.0000173130
4,55,2000,node,0.0000353360
4,56,2000,core,0.0000173930
4,56,2000,node,0.0000360480
4,57,2000,core,0.0000174030
4,57,2000,node,0.0000361670
4,58,2000,core,0.0000173630
4,58,2000,node,0.0000360470
4,59,2000,core,0.0000172920
4,59,2000,node,0.0000358070
4,60,2000,core,0.0000174130
4,60,2000,node,0.0000376310
4,61,2000,core,0.0000179440
4,61,2000,node,0.0000374910
4,62,2000,core,0.0000180530
4,62,2000,node,0.0000380910
4,63,2000,core,0.0000185750
4,63,2000,node,0.0000367490
