File,Time
test_file_2B,382150000
test_file_4B,287865000
test_file_8B,293117000
test_file_16B,328315000
test_file_32B,315261000
test_file_64B,316184000
test_file_128B,294196000
test_file_256B,315203000
test_file_512B,291864000
test_file_1024B,298533000
test_file_2048B,295852000
test_file_4096B,304226000
test_file_8192B,312090000
test_file_16384B,293806000
test_file_32768B,310250000
test_file_65536B,289509000
test_file_131072B,318305000
test_file_262144B,290457000
test_file_524288B,313374000
test_file_1048576B,297177000
test_file_2097152B,358613000
test_file_4194304B,323484000
test_file_8388608B,311423000
test_file_16777216B,340620000
test_file_33554432B,410850000
test_file_67108864B,477151000
test_file_134217728B,717414000
test_file_268435456B,1040860000
test_file_536870912B,1778388000
test_file_1073741824B,3019986000
