File,Time
test_file_2B,373293000
test_file_4B,303491000
test_file_8B,300551000
test_file_16B,294918000
test_file_32B,299385000
test_file_64B,298682000
test_file_128B,298073000
test_file_256B,294731000
test_file_512B,294041000
test_file_1024B,294623000
test_file_2048B,293760000
test_file_4096B,295586000
test_file_8192B,295005000
test_file_16384B,291575000
test_file_32768B,293538000
test_file_65536B,294688000
test_file_131072B,292236000
test_file_262144B,296578000
test_file_524288B,303320000
test_file_1048576B,303562000
test_file_2097152B,320767000
test_file_4194304B,349371000
test_file_8388608B,406295000
test_file_16777216B,435683000
test_file_33554432B,543692000
test_file_67108864B,694012000
test_file_134217728B,930803000
test_file_268435456B,2281731000
test_file_536870912B,5780500000
test_file_1073741824B,10292305000
